Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5,0.8509461784222168,0.019677236693091734,0.897189349112426,0.8393536121673004,8.726618705035971,8416,0
race,African-American,0.6380090497737556,0.8418621611766136,0.011418783899514702,0.9022191400832178,0.8365293560606061,16.2625,8448,1
race,African-American,0.5337837837837838,0.8526774897019627,0.019230769230769232,0.8850072780203785,0.8416374269005849,8.81159420289855,8550,2
race,African-American,0.5892116182572614,0.8460038986354775,0.014056510009938947,0.89900426742532,0.8386791336252811,12.767676767676768,8449,3
race,African-American,0.5699481865284974,0.8460877042132416,0.011906469660020083,0.9192956713132795,0.839692824574034,15.096385542168674,8334,4
race,Caucasian,0.5021186440677966,0.8561701691965086,0.020642403302784527,0.8876777251184834,0.8437862806610182,7.970212765957447,40483,0
race,Caucasian,0.5669515669515669,0.8529277334823016,0.013393643893555778,0.906558146814838,0.8454804006430073,12.701754385964913,40435,1
race,Caucasian,0.5342019543973942,0.8550567874526771,0.021081495459370207,0.8728287841191067,0.8428550193241502,7.871328671328671,40364,2
race,Caucasian,0.5481818181818182,0.8511507523662107,0.014600470035252644,0.9067862111609213,0.8429237947122862,11.80281690140845,40509,3
race,Caucasian,0.5631399317406144,0.8542512162536866,0.011204154874099145,0.9211406722956826,0.847940813810111,15.057291666666666,40550,4
race,Other,0.3,0.9623095429029671,0.00579950289975145,0.94,0.9570405727923628,6.714285714285714,1257,0
race,Other,0.375,0.9739130434782609,0.004042037186742118,0.9166666666666666,0.9701492537313433,6.6,1273,1
race,Other,0.42857142857142855,0.9700404858299595,0.0033277870216306157,0.925,0.966988727858293,9.25,1242,2
race,Other,0.4,0.9646166807076664,0.005212858384013901,0.9130434782608695,0.9598997493734336,7.0,1197,3
race,Other,0.42857142857142855,0.9659810126582279,0.0032653061224489797,0.9347826086956522,0.963021243115657,10.75,1271,4
sex,female,0.47580645161290325,0.866914692252464,0.01919952739624871,0.8962637362637362,0.8546500600619586,7.842307692307692,15817,0
sex,female,0.5190217391304348,0.8705882352941177,0.012901815001093374,0.9133393829401089,0.8624631036864913,11.372881355932204,15923,1
sex,female,0.5026548672566372,0.8690554172671295,0.02074106879244169,0.8756022777047744,0.8559787758195945,7.1138790035587185,15831,2
sex,female,0.5254691689008043,0.867086144265698,0.0130685174246899,0.9126948775055679,0.8590157704731142,11.576271186440678,15789,3
sex,female,0.5399361022364217,0.870928286339642,0.010531704819717692,0.922263109475621,0.8643907364169875,13.92361111111111,15847,4
sex,male,0.5107615894039735,0.8539132534484319,0.02046257184405512,0.8869342129375114,0.841841637787938,8.189509306260575,34339,0
sex,male,0.6017505470459519,0.8465440139259882,0.012740637031851593,0.9028783330390252,0.8400081792422516,14.046703296703297,34233,1
sex,male,0.5475255302435192,0.8522933559239986,0.020037570444583593,0.8750672163470156,0.8409905316824472,8.475694444444445,34325,2
sex,male,0.565439672801636,0.8465616389121841,0.014813523875914954,0.9025722339675828,0.838561368794739,12.054117647058824,34366,3
sex,male,0.5731070496083551,0.8487567825412915,0.01135574385331296,0.920355587808418,0.8426023084994754,15.513761467889909,34308,4
