Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.7611842105263158,0.0,1.0,0.7611842105263158,inf,6080,0
race,African-American,0,0.759325332468375,0.0,1.0,0.759325332468375,inf,6166,1
race,African-American,0,0.7693075898801598,0.0,1.0,0.7693075898801598,inf,6008,2
race,African-American,0,0.7665426306422909,0.0,1.0,0.7665426306422909,inf,6181,3
race,African-American,0,0.7709424083769634,0.0,1.0,0.7709424083769634,inf,6112,4
race,Caucasian,0,0.7709080678061476,0.0,1.0,0.7709080678061476,inf,28434,0
race,Caucasian,0,0.7717444890485246,0.0,1.0,0.7717444890485246,inf,28398,1
race,Caucasian,0,0.7691363652301975,0.0,1.0,0.7691363652301975,inf,28519,2
race,Caucasian,0,0.7697115214858232,0.0,1.0,0.7697115214858232,inf,28321,3
race,Caucasian,0,0.7689301932622241,0.0,1.0,0.7689301932622241,inf,28407,4
race,Other,0,0.9346153846153846,0.0,1.0,0.9346153846153846,inf,780,0
race,Other,0,0.9301369863013699,0.0,1.0,0.9301369863013699,inf,730,1
race,Other,0,0.9387222946544981,0.0,1.0,0.9387222946544981,inf,767,2
race,Other,0,0.9354430379746835,0.0,1.0,0.9354430379746835,inf,790,3
race,Other,0,0.9327296248382924,0.0,1.0,0.9327296248382924,inf,773,4
sex,female,0,0.7956481481481481,0.0,1.0,0.7956481481481481,inf,10800,0
sex,female,0,0.7865199704142012,0.0,1.0,0.7865199704142012,inf,10816,1
sex,female,0,0.796078431372549,0.0,1.0,0.796078431372549,inf,10965,2
sex,female,0,0.7880912320059824,0.0,1.0,0.7880912320059824,inf,10698,3
sex,female,0,0.7880967952910399,0.0,1.0,0.7880967952910399,inf,10703,4
sex,male,0,0.7627990528292643,0.0,1.0,0.7627990528292643,inf,24494,0
sex,male,0,0.7668110139717297,0.0,1.0,0.7668110139717297,inf,24478,1
sex,male,0,0.7623823420609149,0.0,1.0,0.7623823420609149,inf,24329,2
sex,male,0,0.7662437993006425,0.0,1.0,0.7662437993006425,inf,24594,3
sex,male,0,0.7662369352149335,0.0,1.0,0.7662369352149335,inf,24589,4
