Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.1648082342850141,0.9725490196078431,0.9648924122310306,0.005177514792899409,0.18928231939163498,0.0010269953051643193,8416,0
race,African-American,0.17533577533577532,0.9767441860465116,0.9640308307165287,0.004160887656033287,0.19981060606060605,0.0008883624518803672,8448,1
race,African-American,0.16452503902966253,0.9820627802690582,0.9694816053511706,0.002911208151382824,0.18584795321637426,0.0005749604714675866,8550,2
race,African-American,0.17041290007329588,0.9581749049429658,0.9642197927019736,0.007823613086770981,0.19493431175287015,0.0016197908997202179,8449,3
race,African-American,0.16743147711769812,0.9520295202952029,0.9629895280447569,0.009537784299339692,0.1929445644348452,0.0019365410397735737,8334,4
race,Caucasian,0.16289081983566533,0.9476987447698745,0.9336807893889263,0.019747235387045814,0.2092236247313687,0.003919969894631209,40483,0
race,Caucasian,0.16534415943901087,0.9532374100719424,0.9299477177935734,0.018312724996087024,0.2140966984048473,0.003695398123874799,40435,1
race,Caucasian,0.1660607328747417,0.9535429375879868,0.9400872744427409,0.015353598014888337,0.20763551679714598,0.0031050056454648097,40364,2
race,Caucasian,0.1673554262851728,0.9559173947577443,0.929289071680376,0.017158757149482146,0.21637167049297687,0.003508993772326368,40509,3
race,Caucasian,0.16345898944912782,0.9607496463932107,0.9207247687684182,0.01768360681854389,0.21906288532675708,0.003517556090759285,40550,4
race,Other,0.0427807486631016,0.9851851851851852,0.8898094449047225,0.04,0.14399363564041368,0.00186219739292365,1257,0
race,Other,0.027472527472527472,0.9668508287292817,0.8585286984640259,0.16666666666666666,0.1610369206598586,0.005649717514124294,1273,1
race,Other,0.03371783496007098,0.9826086956521739,0.9059900166389351,0.05,0.1215780998389694,0.0018365472910927456,1242,2
race,Other,0.04377431906614786,0.9940828402366864,0.8540399652476107,0.021739130434782608,0.17794486215538846,0.001017293997965412,1197,3
race,Other,0.03777148253068933,0.9716981132075472,0.8318367346938775,0.13043478260869565,0.1935483870967742,0.005888125613346418,1271,4
sex,female,0.15077006214536612,0.9575518262586377,0.9283709939447644,0.018901098901098902,0.20244041221470568,0.0034202990773146676,15817,0
sex,female,0.14546680148297944,0.9577205882352942,0.9240469421969532,0.020871143375680582,0.20096715443069774,0.0036286187583813205,15923,1
sex,female,0.15028052364413572,0.9615832363213038,0.9390315913788013,0.01445466491458607,0.19430231823637167,0.0025939317717340042,15831,2
sex,female,0.1494743981010512,0.960727969348659,0.9259450679267572,0.01826280623608018,0.2031160934828045,0.003269276772187226,15789,3
sex,female,0.14493640753587703,0.9624125874125874,0.9194763402325752,0.019779208831646734,0.20395027449990535,0.0034202990773146676,15847,4
sex,male,0.16474272381186295,0.9485002829654782,0.9419707776469773,0.016675829210188748,0.2050729491249017,0.003344850400646916,34339,0
sex,male,0.17232859789993824,0.9552077711818673,0.9380469023451172,0.01465654246865619,0.21470510910524931,0.0030970149253731344,34233,1
sex,male,0.16833256915787864,0.9552795031055901,0.9464969039170668,0.012905538626994085,0.20524399126001458,0.0026462805057336078,34325,2
sex,male,0.17233518176216883,0.9569779643231899,0.9364238410596026,0.014446793516560958,0.21585287784438106,0.0030521849177398944,34366,3
sex,male,0.16878752994617466,0.9598523304107061,0.9277677455202111,0.015783744557329463,0.21875364346508103,0.003256475520287468,34308,4
