Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.14285714285714285,0.9402218910415632,0.001055594651653765,0.9972375690607734,0.939298709890837,60.166666666666664,6046,0
race,African-American,0.36363636363636365,0.93370346178968,0.0024424284717376133,0.9806763285024155,0.9316628701594533,29.0,6146,1
race,African-American,0.09090909090909091,0.935003274394237,0.0017479461632581717,0.9974874371859297,0.9334858637032195,39.7,6119,2
race,African-American,0.5,0.9412925505673408,0.0006983240223463687,0.9889196675900277,0.9407127607160454,89.25,6089,3
race,African-American,0.4,0.9353630739172908,0.0005219206680584551,0.9949874686716792,0.934927606962746,132.33333333333334,6147,4
race,Caucasian,0.3684210526315789,0.9365313653136531,0.0004500956453246315,0.9961389961389961,0.9361522792723186,150.5,28474,0
race,Caucasian,0.3181818181818182,0.9349458763795353,0.0005653763521917757,0.9962203023758099,0.9344678152415178,123.0,28383,1
race,Caucasian,0.18181818181818182,0.9332863932406267,0.0006785283474065139,0.9978936282253817,0.9327048228796566,105.27777777777777,28427,2
race,Caucasian,0.37333333333333335,0.9365622903943235,0.0017684464010234414,0.9846575342465753,0.9350749947186818,38.234042553191486,28402,3
race,Caucasian,0.15,0.9359249991188806,0.0006397711877163932,0.9983525535420099,0.9353713943577643,106.94117647058823,28393,4
race,Other,0.0,0.9844961240310077,0.0,1.0,0.9844961240310077,inf,774,0
race,Other,0.5,0.989501312335958,0.0013245033112582781,0.8888888888888888,0.9882198952879581,8.0,764,1
race,Other,0.0,0.9839142091152815,0.0013605442176870747,1.0,0.9825970548862115,12.0,747,2
race,Other,0.0,0.9937655860349127,0.0,1.0,0.9937655860349127,inf,802,3
race,Other,0.0,0.9747675962815405,0.0,1.0,0.9747675962815405,inf,753,4
sex,female,0.4444444444444444,0.9301224944320713,0.000498603909054647,0.9947159841479525,0.9297171998145572,150.6,10785,0
sex,female,0.2,0.9282684860778168,0.0003971405877680699,0.9987163029525032,0.9279329094092711,194.5,10851,1
sex,female,0.3,0.9234338747099768,0.0007030229988952496,0.9963768115942029,0.9228558182661103,117.85714285714286,10785,2
sex,female,0.23529411764705882,0.9306634228501918,0.0013053519429661613,0.9946308724832215,0.929559043348281,57.0,10704,3
sex,female,0.3333333333333333,0.9283213561820527,0.00019845207382417147,0.9987163029525032,0.9281569494335452,389.0,10857,4
sex,male,0.23529411764705882,0.9417769067450596,0.0005632826378959227,0.9972027972027973,0.9412868742094741,109.6923076923077,24509,0
sex,male,0.36585365853658536,0.9393057661571247,0.0011330950928266365,0.9899732620320856,0.9383438343834384,56.96153846153846,24442,1
sex,male,0.08333333333333333,0.9395932037248815,0.0009554001823945803,0.9986495611073599,0.9387546923453566,67.22727272727273,24508,2
sex,male,0.42424242424242425,0.9421767320474657,0.0016419651730544874,0.9806362378976486,0.9407865305624467,37.31578947368421,24589,3
sex,male,0.18181818181818182,0.9403620873269436,0.0007834261838440111,0.9972602739726028,0.9396791618922901,80.88888888888889,24436,4
