Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6666666666666666,0.9587543088077974,0.00012396181975951408,0.994269340974212,0.9586501901140685,347.0,8416,0
race,African-American,0.6,0.9548738600023688,0.000248015873015873,0.9921875,0.9546638257575758,190.5,8448,1
race,African-American,0.6666666666666666,0.9605709605709606,0.00012178784557301182,0.9941002949852508,0.9604678362573099,337.0,8550,2
race,African-American,0.7142857142857143,0.959014451551765,0.0002469745616201531,0.9857549857549858,0.9588116936915612,173.0,8449,3
race,African-American,0.6,0.958458398367151,0.0002504696305572949,0.9914040114613181,0.9582433405327574,173.0,8334,4
race,Caucasian,0.2727272727272727,0.9606781839302044,0.0004114591369644602,0.9962429555416406,0.9603043252723366,99.4375,40483,0
race,Caucasian,0.6,0.961153037238649,0.00020590430597379868,0.9924146649810367,0.9609744033634228,196.25,40435,1
race,Caucasian,0.6521739130434783,0.9585285441610273,0.0002068466232288758,0.9911137440758294,0.9583539787929839,209.125,40364,2
race,Caucasian,0.45454545454545453,0.9621359942697656,0.00030796078632654107,0.9935191186001296,0.9618603273346664,127.75,40509,3
race,Caucasian,0.5,0.9610905502097212,0.0002566537484279958,0.9936988027725268,0.9608631319358816,157.7,40550,4
race,Other,0.0,0.9920382165605095,0.0008019246190858059,1.0,0.9912490055688147,10.0,1257,0
race,Other,0.0,0.9937156323644933,0.0,1.0,0.9937156323644933,inf,1273,1
race,Other,0.0,0.9919484702093397,0.0,1.0,0.9919484702093397,inf,1242,2
race,Other,0.0,0.9899749373433584,0.0,1.0,0.9899749373433584,inf,1197,3
race,Other,0.0,0.9944881889763779,0.0007911392405063291,1.0,0.993705743509048,7.0,1271,4
sex,female,0.35714285714285715,0.9580459406441815,0.0005940986203709816,0.9925149700598802,0.9575140671429475,73.66666666666667,15817,0
sex,female,0.5384615384615384,0.9591451917033312,0.0003930302633302764,0.989345509893455,0.9588017333417069,108.33333333333333,15923,1
sex,female,0.7272727272727273,0.9542983565107459,0.00019867549668874172,0.9890560875512996,0.9541406101951867,241.0,15831,2
sex,female,0.6363636363636364,0.9565217391304348,0.00026497085320614734,0.98989898989899,0.9562986889606688,171.5,15789,3
sex,female,0.2857142857142857,0.95625,0.0003299894403379092,0.9971223021582734,0.9559538082917902,138.6,15847,4
sex,male,0.25,0.9625659102164477,0.0002723064355087592,0.9976708074534162,0.962316899152567,142.77777777777777,34339,0
sex,male,0.6666666666666666,0.9617486338797814,0.00012152144853566654,0.9939255884586181,0.9616451961557562,327.25,34233,1
sex,male,0.6,0.9621976100262314,0.00018171355886005026,0.9931087289433385,0.9620393299344501,216.16666666666666,34325,2
sex,male,0.4444444444444444,0.9649178991498777,0.00030163182819051065,0.9934047815333883,0.9646452889483792,120.5,34366,3
sex,male,0.5789473684210527,0.9639242905888186,0.00024198427102238354,0.9911858974358975,0.9637110877929346,154.625,34308,4
