Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.06664184661206254,0.9940652818991098,0.8821252638986629,0.011049723756906077,0.1700297717499173,0.0007977662544874351,6046,0
race,African-American,0.0747304951580486,0.9925705794947994,0.8834612700628053,0.012077294685990338,0.1752359258054019,0.0009873617693522906,6146,1
race,African-American,0.0730804810360777,0.9957983193277311,0.875721027792344,0.007537688442211055,0.18074848831508417,0.0005988023952095808,6119,2
race,African-American,0.06629834254143646,0.9984825493171472,0.8851256983240223,0.002770083102493075,0.1671867301691575,0.0001972386587771203,6089,3
race,African-American,0.07180608711499908,0.9924242424242424,0.8860473208072372,0.012531328320802004,0.17065235074019847,0.0009817396426467701,6147,4
race,Caucasian,0.07758810815579374,0.9906944683784249,0.7843666779190578,0.02978488692774407,0.2636791458874763,0.002582249426166794,28474,0
race,Caucasian,0.07929534771339454,0.9916370106761566,0.7899438392823489,0.025377969762419007,0.2599443328753127,0.002242580398893024,28383,1
race,Caucasian,0.08171891511095457,0.9924759405074366,0.7861881785283474,0.022643496577145865,0.26481865831779644,0.002061756808592252,28427,2
race,Caucasian,0.07812294615081278,0.9924717691342535,0.7916619633517703,0.023013698630136987,0.25772832899091613,0.0019961977186311788,28402,3
race,Caucasian,0.07857616626133097,0.9923849082727587,0.7842089417431883,0.02416254805052169,0.2645370337759307,0.0021115270179479797,28393,4
race,Other,0.021352313167259787,1.0,0.7217847769028871,0.0,0.28940568475452194,0.0,774,0
race,Other,0.01549053356282272,1.0,0.7576158940397351,0.0,0.2513089005235602,0.0,764,1
race,Other,0.01950354609929078,0.994535519125683,0.7523809523809524,0.08333333333333333,0.2583668005354752,0.0018083182640144665,747,2
race,Other,0.008460236886632826,1.0,0.7352572145545797,0.0,0.26932668329177056,0.0,802,3
race,Other,0.0338680926916221,1.0,0.7384196185286104,0.0,0.28021248339973437,0.0,753,4
sex,female,0.07851899138206192,0.9862914862914863,0.8636816912644595,0.02509907529722589,0.1951784886416319,0.0021937420621175384,10785,0
sex,female,0.07972144267747636,0.9902439024390244,0.8790706910246228,0.01540436456996149,0.1829324486222468,0.0013553196295459679,10851,1
sex,female,0.08652210884353742,0.9898329702251271,0.8631113789293964,0.016908212560386472,0.2018544274455262,0.0016290435187340006,10785,2
sex,female,0.07885420019311233,0.9927693420101229,0.8621347524851892,0.013422818791946308,0.1969357249626308,0.0011646866992778943,10704,3
sex,female,0.08019262981574539,0.9900383141762452,0.8717999603095853,0.01668806161745828,0.1895551257253385,0.0014796266788071933,10857,4
sex,male,0.07242528376548996,0.9926456722609843,0.7719138610858356,0.02727272727272727,0.27153290627932597,0.002189166432781364,24509,0
sex,male,0.0758491352365076,0.9923751429660694,0.7731194979517128,0.026737967914438502,0.2725636199983635,0.002254791431792559,24442,1
sex,male,0.0751310122969958,0.9936962750716333,0.7740912841446997,0.02228224172856178,0.2713399706218378,0.0018513323983169706,24508,2
sex,male,0.07237617169492394,0.9934859849980261,0.7825260337899149,0.022821576763485476,0.26214974175444306,0.0018221976808393153,24589,3
sex,male,0.0745120611166344,0.9932394366197184,0.7698032729805014,0.024657534246575342,0.27471762972663283,0.0020353932266636513,24436,4
