Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.45454545454545453,0.947412254610351,0.0007529175555276697,0.9888143176733781,0.9467680608365019,73.66666666666667,8416,0
race,African-American,0.6,0.9437070395828395,0.000502071043052592,0.9875259875259875,0.9433001893939394,118.75,8448,1
race,African-American,0.3333333333333333,0.9486008664090856,0.0007400098667982239,0.9932126696832579,0.947953216374269,73.16666666666667,8550,2
race,African-American,1.0,0.9474431818181818,0.0,0.9977528089887641,0.9474494022961297,inf,8449,3
race,African-American,0.0,0.9487456487816589,0.0003794106487922094,1.0,0.9484041276697864,142.33333333333334,8334,4
race,Caucasian,0.35714285714285715,0.9698287578146235,0.0002292584761953282,0.9959216965742251,0.9696168762196478,135.66666666666666,40483,0
race,Caucasian,0.5,0.9691063345618244,7.656381594058648e-05,0.9976038338658147,0.9690367256090021,416.3333333333333,40435,1
race,Caucasian,0.5454545454545454,0.9689738061606324,0.00012785761775686594,0.9952305246422893,0.9688583886631652,250.4,40364,2
race,Caucasian,0.3,0.9696535716931283,0.00017822135091783995,0.997564935064935,0.9694882618677331,175.57142857142858,40509,3
race,Caucasian,0.45454545454545453,0.9698315202644368,0.00015258633843649865,0.995928338762215,0.969691738594328,203.83333333333334,40550,4
race,Other,0.0,0.9880668257756563,0.0,1.0,0.9880668257756563,inf,1257,0
race,Other,0.0,0.9945011783189317,0.0,1.0,0.9945011783189317,inf,1273,1
race,Other,0.0,0.991941982272361,0.0008116883116883117,1.0,0.9911433172302737,10.0,1242,2
race,Other,0.0,0.9908103592314118,0.0,1.0,0.9908103592314118,inf,1197,3
race,Other,0.0,0.988985051140834,0.0,1.0,0.988985051140834,inf,1271,4
sex,female,0.0,0.9818538189175519,6.43915003219575e-05,1.0,0.9817917430612632,287.0,15817,0
sex,female,0.0,0.9825409784588331,0.0,1.0,0.9825409784588331,inf,15923,1
sex,female,0.0,0.9826290190133283,0.0,1.0,0.9826290190133283,inf,15831,2
sex,female,0.0,0.9830894926847805,0.0,1.0,0.9830894926847805,inf,15789,3
sex,female,0.0,0.9840969329799318,6.412311638345624e-05,1.0,0.9840348330914369,252.0,15847,4
sex,male,0.4166666666666667,0.9594637913448929,0.00042504098609508776,0.9928622412562456,0.9590844229593174,99.35714285714286,34339,0
sex,male,0.5625,0.9575357278545752,0.00021360349089133686,0.993844049247606,0.9573510939736511,207.57142857142858,34233,1
sex,male,0.42857142857142855,0.9584305037313433,0.00036485253876558226,0.9937282229965156,0.9581063364894392,118.83333333333333,34325,2
sex,male,0.36363636363636365,0.9587541842526561,0.00021247533768401882,0.9971850809289233,0.9585636966769482,202.42857142857142,34366,3
sex,male,0.38461538461538464,0.9588278174661029,0.00024322763065884285,0.9964714184897672,0.9586102366794916,176.5,34308,4
