Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.9475982532751092,0.0,1.0,0.9475982532751092,inf,8473,0
race,African-American,0,0.9477085781433607,0.0,1.0,0.9477085781433607,inf,8510,1
race,African-American,0,0.9458367977194441,0.0,1.0,0.9458367977194441,inf,8419,2
race,African-American,0,0.9493655875726313,0.0,1.0,0.9493655875726313,inf,8433,3
race,African-American,0,0.9437933508729969,0.0,1.0,0.9437933508729969,inf,8362,4
race,Caucasian,0,0.969252823846363,0.0,1.0,0.969252823846363,inf,40459,0
race,Caucasian,0,0.9691442167092121,0.0,1.0,0.9691442167092121,inf,40349,1
race,Caucasian,0,0.9696056143125432,0.0,1.0,0.9696056143125432,inf,40468,2
race,Caucasian,0,0.9689158827741154,0.0,1.0,0.9689158827741154,inf,40503,3
race,Caucasian,0,0.9699718948769784,0.0,1.0,0.9699718948769784,inf,40562,4
race,Other,0,0.9910130718954249,0.0,1.0,0.9910130718954249,inf,1224,0
race,Other,0,0.9930609097918273,0.0,1.0,0.9930609097918273,inf,1297,1
race,Other,0,0.9897557131599685,0.0,1.0,0.9897557131599685,inf,1269,2
race,Other,0,0.9893355209187858,0.0,1.0,0.9893355209187858,inf,1219,3
race,Other,0,0.9910641754670999,0.0,1.0,0.9910641754670999,inf,1231,4
sex,female,0,0.9826294921014538,0.0,1.0,0.9826294921014538,inf,15889,0
sex,female,0,0.9837341772151899,0.0,1.0,0.9837341772151899,inf,15800,1
sex,female,0,0.9827804507470246,0.0,1.0,0.9827804507470246,inf,15796,2
sex,female,0,0.9829236254456746,0.0,1.0,0.9829236254456746,inf,15987,3
sex,female,0,0.9821417222751827,0.0,1.0,0.9821417222751827,inf,15735,4
sex,male,0,0.9584731666034377,0.0,1.0,0.9584731666034377,inf,34267,0
sex,male,0,0.9580277098614507,0.0,1.0,0.9580277098614507,inf,34356,1
sex,male,0,0.9584691501746216,0.0,1.0,0.9584691501746216,inf,34360,2
sex,male,0,0.9582650433153829,0.0,1.0,0.9582650433153829,inf,34168,3
sex,male,0,0.9588030214991284,0.0,1.0,0.9588030214991284,inf,34420,4
