Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.01930327150988309,0
race,African-American,1,0.054000102417549684,0
race,Caucasian,0,0.019423590921818133,0
race,Caucasian,1,0.051114314108657626,0
race,Other,0,0.012620493525475177,0
race,Other,1,0.04314474958840964,0
sex,male,0,0.019473223269106468,0
sex,male,1,0.052171054989549125,0
sex,female,0,0.018705022037897152,0
sex,female,1,0.04958149303707102,0
race,Caucasian,0,0.02002387028085862,1
race,Caucasian,1,0.053790616451442466,1
race,African-American,0,0.020015836921357794,1
race,African-American,1,0.06010168600331955,1
race,Other,0,0.013664041277353609,1
race,Other,1,0.03786330481718032,1
sex,female,0,0.019164584798107467,1
sex,female,1,0.054812436560451455,1
sex,male,0,0.0201831719699987,1
sex,male,1,0.05455311399340108,1
race,African-American,0,0.0191216202977097,2
race,African-American,1,0.057098194590582727,2
race,Caucasian,1,0.05410792813232536,2
race,Caucasian,0,0.01951078348412141,2
race,Other,0,0.012397041010608926,2
race,Other,1,0.05859909052963573,2
sex,male,0,0.019556293670778706,2
sex,male,1,0.05534580854150246,2
sex,female,0,0.018637733589673446,2
sex,female,1,0.052509387551246144,2
race,Other,0,0.011981644463075003,3
race,Other,1,0.0634165426316704,3
race,Caucasian,0,0.019146570248380873,3
race,Caucasian,1,0.05282031580052417,3
race,African-American,1,0.05957329847829622,3
race,African-American,0,0.01957625829172927,3
sex,female,0,0.018431500848393085,3
sex,female,1,0.04647556973448968,3
sex,male,0,0.019328098872517015,3
sex,male,1,0.05699872027019423,3
race,Caucasian,0,0.019813231728182456,4
race,Caucasian,1,0.05203785106174977,4
race,African-American,0,0.01984109990947271,4
race,African-American,1,0.05694296264381199,4
race,Other,0,0.013697385563210424,4
race,Other,1,0.038523999489945414,4
sex,female,0,0.019196738278343506,4
sex,female,1,0.05153779095022412,4
sex,male,0,0.019874638638002328,4
sex,male,1,0.0530448162240057,4
