Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.001166687831478488,0
race,African-American,1,0.007306561419047807,0
race,Caucasian,0,0.001221108160423696,0
race,Caucasian,1,0.007023591337213165,0
race,Other,0,0.00034438674752936384,0
race,Other,1,0.0031184506789790237,0
sex,male,0,0.0012506781757019839,0
sex,male,1,0.007307710888217422,0
sex,female,0,0.001057461324013483,0
sex,female,1,0.006350532455362656,0
race,Caucasian,0,0.0014498577450976682,1
race,Caucasian,1,0.008019751668834682,1
race,African-American,0,0.0012936871194223713,1
race,African-American,1,0.007915153995075962,1
race,Other,0,0.0003648014610920008,1
race,Other,1,0.0024793700884670937,1
sex,female,0,0.0012794225765067502,1
sex,female,1,0.0076068532724129535,1
sex,male,0,0.0014498223675936423,1
sex,male,1,0.008099382115448443,1
race,African-American,0,0.0012590099729336151,2
race,African-American,1,0.00956280184236307,2
race,Caucasian,1,0.006846507747895107,2
race,Caucasian,0,0.0014032414215444217,2
race,Other,0,0.0003553626524002975,2
race,Other,1,0.0036435470345370694,2
sex,male,0,0.0013844471740218605,2
sex,male,1,0.0076421919644426755,2
sex,female,0,0.0012827125241197488,2
sex,female,1,0.006021690872602414,2
race,Other,0,0.0002990290314339345,3
race,Other,1,0.004494813578622225,3
race,Caucasian,0,0.00132879178042886,3
race,Caucasian,1,0.0066993226897826535,3
race,African-American,1,0.009444052517209426,3
race,African-American,0,0.001263626985609932,3
sex,female,0,0.001064585829147718,3
sex,female,1,0.005183865097511708,3
sex,male,0,0.0013979022481131185,3
sex,male,1,0.007893080963334045,3
race,Caucasian,0,0.0013653303101561958,4
race,Caucasian,1,0.007405992704915157,4
race,African-American,0,0.001417418264304799,4
race,African-American,1,0.008917709335364257,4
race,Other,0,0.0003820160281853267,4
race,Other,1,0.0010216618180034296,4
sex,female,0,0.0011228914341589247,4
sex,female,1,0.00684952366136993,4
sex,male,0,0.001453058319403356,4
sex,male,1,0.007881976516299558,4
