Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.03967290309102256,0
race,African-American,0,0.01856089609420049,0
race,Caucasian,0,0.019390144226105965,0
race,Caucasian,1,0.04257776286372022,0
race,Other,0,0.013194522024293966,0
race,Other,1,0.028989871477608554,0
sex,male,1,0.04121273456659643,0
sex,male,0,0.01915661425948642,0
sex,female,0,0.019012789683869276,0
sex,female,1,0.04408785888165938,0
race,Other,0,0.01272505669956923,1
race,Other,1,0.042786656537619844,1
race,Caucasian,0,0.019236553114563446,1
race,Caucasian,1,0.04416647138725155,1
race,African-American,0,0.01862102116091208,1
race,African-American,1,0.04540798451657938,1
sex,female,0,0.01913125347534466,1
sex,female,1,0.04465003837743978,1
sex,male,0,0.01891315258910708,1
sex,male,1,0.04421686533518627,1
race,African-American,0,0.021887700461259093,2
race,African-American,1,0.06031489916735983,2
race,Caucasian,0,0.021513227990345347,2
race,Caucasian,1,0.05239151306905158,2
race,Other,0,0.016191264090519186,2
race,Other,1,0.09527723907393397,2
sex,male,0,0.02141343380833678,2
sex,male,1,0.05411073118137999,2
sex,female,0,0.02153673243684465,2
sex,female,1,0.052464000830939585,2
race,Caucasian,0,0.0179266450798577,3
race,Caucasian,1,0.043624381786743945,3
race,African-American,0,0.017560460303140093,3
race,African-American,1,0.05090065574749522,3
race,Other,0,0.010227557020296825,3
race,Other,1,0.019378817603093398,3
sex,male,0,0.01785341780989026,3
sex,male,1,0.04462318297530758,3
sex,female,0,0.01731225253528195,3
sex,female,1,0.043672900201464575,3
race,Caucasian,0,0.021405025378415113,4
race,Caucasian,1,0.053869059328715316,4
race,African-American,1,0.0640741664191992,4
race,African-American,0,0.02138478527643434,4
race,Other,0,0.015843915214776606,4
race,Other,1,0.06808048243514202,4
sex,female,0,0.021356937520032124,4
sex,female,1,0.05375449411322795,4
sex,male,1,0.05588002130347657,4
sex,male,0,0.021237306069109563,4
