Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.02455951324219618,0
race,African-American,1,0.07122369110609364,0
race,Caucasian,0,0.0226664929845063,0
race,Caucasian,1,0.0714471085258335,0
race,Other,0,0.015539093576246055,0
race,Other,1,0.03342788333099492,0
sex,male,0,0.023326726478845972,0
sex,male,1,0.07143032284864297,0
sex,female,0,0.02166877903999571,0
sex,female,1,0.07020001911618795,0
race,Caucasian,0,0.023245375049527412,1
race,Caucasian,1,0.07214910239599148,1
race,African-American,0,0.025436572778963766,1
race,African-American,1,0.07079742200978338,1
race,Other,0,0.016874967927911617,1
race,Other,1,0.035579455464036326,1
sex,female,0,0.022168020388918717,1
sex,female,1,0.07098173200510537,1
sex,male,0,0.02404816669413336,1
sex,male,1,0.07185214266018662,1
race,African-American,0,0.024537589294862713,2
race,African-American,1,0.06705302265439976,2
race,Caucasian,1,0.07184225533110887,2
race,Caucasian,0,0.023104261647412236,2
race,Other,0,0.016349737938201866,2
race,Other,1,0.06798125020948646,2
sex,male,0,0.023642032148338123,2
sex,male,1,0.07217042890621336,2
sex,female,0,0.022183500421719387,2
sex,female,1,0.06753257914896253,2
race,Other,0,0.015512672344897468,3
race,Other,1,0.09651993851001377,3
race,Caucasian,0,0.022612889356440933,3
race,Caucasian,1,0.07002760049142101,3
race,African-American,1,0.08025650856527426,3
race,African-American,0,0.02468495293718517,3
sex,female,0,0.021670507515952786,3
sex,female,1,0.06496400010942752,3
sex,male,0,0.023305184695950564,3
sex,male,1,0.07493841381613388,3
race,Caucasian,0,0.022805643185843424,4
race,Caucasian,1,0.06878480709588466,4
race,African-American,0,0.025122678102683715,4
race,African-American,1,0.07317617484367364,4
race,Other,0,0.01648868390736009,4
race,Other,1,0.04693309901261117,4
sex,female,0,0.02210885699352099,4
sex,female,1,0.06822759359637222,4
sex,male,0,0.023453846616711748,4
sex,male,1,0.06982380622322704,4
