Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.06778549100856951,0
race,African-American,0,0.013312262758323208,0
race,Caucasian,0,0.010832187241317409,0
race,Caucasian,1,0.050694691462160935,0
race,Other,0,0.0035992972245141356,0
race,Other,1,0.022234299073334917,0
sex,male,1,0.05837038517997077,0
sex,male,0,0.01234302460283829,0
sex,female,0,0.008275939302061866,0
sex,female,1,0.03993771766267352,0
race,Caucasian,1,0.041825860196724955,1
race,Caucasian,0,0.008064566819731955,1
race,Other,0,0.003183987767803005,1
race,Other,1,0.018381520729803088,1
race,African-American,0,0.009818235259628853,1
race,African-American,1,0.053202132730705586,1
sex,male,1,0.048029370005419944,1
sex,male,0,0.009165914522630608,1
sex,female,0,0.006251590816640456,1
sex,female,1,0.03047021227945487,1
race,African-American,0,0.00997741313746421,2
race,African-American,1,0.05206975170343634,2
race,Caucasian,0,0.008934354916705847,2
race,Caucasian,1,0.04255723076748282,2
race,Other,0,0.0033683143181676054,2
race,Other,1,0.01913449131927963,2
sex,male,0,0.009692076643011546,2
sex,male,1,0.04603311596313933,2
sex,female,0,0.007415022773317688,2
sex,female,1,0.03934859186761498,2
race,Caucasian,0,0.00906157642068655,3
race,Caucasian,1,0.051750754011823656,3
race,African-American,0,0.010161799971220182,3
race,African-American,1,0.050900599555144886,3
race,Other,0,0.004376527460494255,3
race,Other,1,0.028095559010185855,3
sex,male,0,0.010025069053425161,3
sex,male,1,0.055316315238647135,3
sex,female,0,0.007135193430542931,3
sex,female,1,0.0400323560689702,3
race,Caucasian,0,0.008845006448806179,4
race,Caucasian,1,0.04522825493710997,4
race,Other,0,0.0035326839670238685,4
race,Other,1,0.008295483450126338,4
race,African-American,0,0.01044735349922269,4
race,African-American,1,0.05563169642560486,4
sex,female,0,0.007135015164757882,4
sex,female,1,0.03412686017127256,4
sex,male,0,0.009843243690799915,4
sex,male,1,0.05179014541707419,4
