Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,0.023648510305874934,0
race,Caucasian,1,0.06472179215862893,0
race,African-American,0,0.025183361628138633,0
race,African-American,1,0.06371203671343985,0
race,Other,0,0.01629796749728127,0
race,Other,1,0.03151372627601607,0
sex,male,0,0.024088607037371205,0
sex,male,1,0.06521249844356682,0
sex,female,0,0.022909497996509563,0
sex,female,1,0.06152666556953316,0
race,Caucasian,0,0.02385351042384051,1
race,Caucasian,1,0.06334464402401163,1
race,African-American,1,0.0676611585464077,1
race,African-American,0,0.025646781668231245,1
race,Other,0,0.01619132255082466,1
race,Other,1,0.05433026168290127,1
sex,male,0,0.024592014282560665,1
sex,male,1,0.063719578470427,1
sex,female,0,0.022630206202951548,1
sex,female,1,0.06454918833608783,1
race,African-American,0,0.02520800036167975,2
race,African-American,1,0.06304018399049469,2
race,Caucasian,0,0.024039120249300466,2
race,Caucasian,1,0.06457157569508044,2
race,Other,0,0.015485729506866308,2
race,Other,1,0.06330239278847012,2
sex,male,0,0.024467956796317015,2
sex,male,1,0.0657375142279937,2
sex,female,0,0.02305679125134225,2
sex,female,1,0.060304535718100793,2
race,Caucasian,1,0.06215883821185072,3
race,Caucasian,0,0.02395898377903472,3
race,African-American,0,0.025205048466929305,3
race,African-American,1,0.06145467787281329,3
race,Other,0,0.015571718725215832,3
race,Other,1,0.04248428032624803,3
sex,male,1,0.06235990845586512,3
sex,male,0,0.024196532354072695,3
sex,female,0,0.02344285626742726,3
sex,female,1,0.060180291216027894,3
race,Caucasian,0,0.023991542314389255,4
race,Caucasian,1,0.06186560042091235,4
race,Other,0,0.015400114423572961,4
race,Other,1,0.03693978013273672,4
race,African-American,0,0.025183820310153288,4
race,African-American,1,0.06574842886955265,4
sex,female,0,0.022975993638636748,4
sex,female,1,0.06431776243859201,4
sex,male,0,0.024431255361616014,4
sex,male,1,0.06153804691528114,4
