Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.15697307087827067,0
race,African-American,0,0.04045657361741267,0
race,Caucasian,0,0.03638386214270753,0
race,Caucasian,1,0.15805382846662525,0
race,Other,0,0.012669140214730513,0
race,Other,1,0.07211479270667963,0
sex,male,1,0.16215791023568993,0
sex,male,0,0.03860750915403823,0
sex,female,0,0.03185308698112405,0
sex,female,1,0.14390908859144716,0
race,Caucasian,1,0.15076827066439777,1
race,Caucasian,0,0.03592170859536858,1
race,Other,1,0.07935806363506002,1
race,Other,0,0.01745981111354034,1
race,African-American,0,0.039111180759093936,1
race,African-American,1,0.16344985929599323,1
sex,male,1,0.1613196572016691,1
sex,male,0,0.03802847558932083,1
sex,female,0,0.031678965155756716,1
sex,female,1,0.12850100100606066,1
race,African-American,0,0.03999066794827992,2
race,African-American,1,0.14849169789849995,2
race,Caucasian,0,0.036443811634080864,2
race,Caucasian,1,0.15618283675625474,2
race,Other,0,0.014893877833136504,2
race,Other,1,0.08533836367018245,2
sex,male,0,0.03806383507687323,2
sex,male,1,0.15893049115574762,2
sex,female,0,0.03318166471555744,2
sex,female,1,0.14235000265796582,2
race,Caucasian,0,0.037040248741948285,3
race,Caucasian,1,0.1604837395236107,3
race,African-American,0,0.04152873282472741,3
race,African-American,1,0.15376171628121738,3
race,Other,0,0.019871692754656025,3
race,Other,1,0.05415291158092028,3
sex,male,0,0.03934369715099062,3
sex,male,1,0.16656707085672118,3
sex,female,0,0.03300533390883961,3
sex,female,1,0.1366493356344253,3
race,Caucasian,0,0.03644031764979525,4
race,Caucasian,1,0.15640714785951712,4
race,Other,1,0.0629225278234517,4
race,Other,0,0.01716798490670729,4
race,African-American,0,0.04024011493498928,4
race,African-American,1,0.156674170728779,4
sex,female,0,0.03241807649691384,4
sex,female,1,0.14192911223788354,4
sex,male,0,0.038560242712258774,4
sex,male,1,0.16108883106592287,4
