Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,0.6244975235192587,0
race,Caucasian,1,0.7789081490584335,0
race,African-American,1,0.7964153933867687,0
race,African-American,0,0.647287725058462,0
race,Other,0,0.5792703825679564,0
race,Other,1,0.6988512816656443,0
sex,male,0,0.6307634209985057,0
sex,male,1,0.7859994307679091,0
sex,female,0,0.6199392641292244,0
sex,female,1,0.7688954673738501,0
race,Caucasian,0,0.6263692393003072,1
race,Caucasian,1,0.7772399013332084,1
race,African-American,0,0.6469258338091218,1
race,African-American,1,0.7880326380603155,1
race,Other,0,0.5848831440238259,1
race,Other,1,0.6829002645164586,1
sex,male,0,0.6316708909627639,1
sex,male,1,0.7807616796901999,1
sex,female,0,0.6226511834998583,1
sex,female,1,0.7720597826341841,1
race,African-American,0,0.6560909274219274,2
race,African-American,1,0.7810552197536238,2
race,Caucasian,1,0.7842402465627167,2
race,Caucasian,0,0.6348606811177067,2
race,Other,0,0.5951082399387958,2
race,Other,1,0.723868310412997,2
sex,male,0,0.6398667218203171,2
sex,male,1,0.7860635709005991,2
sex,female,0,0.6323187753369747,2
sex,female,1,0.7755926844498736,2
race,Caucasian,0,0.6350945662289663,3
race,Caucasian,1,0.7826094917667633,3
race,African-American,0,0.6577636677004005,3
race,African-American,1,0.7936932928779766,3
race,Other,0,0.5945078719908331,3
race,Other,1,0.7255869736777972,3
sex,male,0,0.6408908944492431,3
sex,male,1,0.7898767375497592,3
sex,female,0,0.6316967023924004,3
sex,female,1,0.7700180204115245,3
race,Caucasian,0,0.6252407686682261,4
race,Caucasian,1,0.7789357571817577,4
race,Other,0,0.5851236315931834,4
race,Other,1,0.6735414084077144,4
race,African-American,0,0.6457271123442352,4
race,African-American,1,0.7775018475528612,4
sex,female,0,0.6247186346334789,4
sex,female,1,0.7642655215360041,4
sex,male,0,0.6291204401596899,4
sex,male,1,0.7833994569693542,4
