Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,0.03840327882619584,0
race,Caucasian,1,0.0854058665753527,0
race,African-American,1,0.09448557591215526,0
race,African-American,0,0.04045758533160507,0
race,Other,0,0.02508089174971524,0
race,Other,1,0.06021969792907936,0
sex,male,0,0.03920489124542144,0
sex,male,1,0.08880569151013784,0
sex,female,0,0.03679987663255305,0
sex,female,1,0.08140162531894968,0
race,Caucasian,0,0.03787673089190727,1
race,Caucasian,1,0.08338443449459775,1
race,African-American,0,0.039804354949786874,1
race,African-American,1,0.08865614871359823,1
race,Other,0,0.025592488417923626,1
race,Other,1,0.0484510987902673,1
sex,male,0,0.03852563619332618,1
sex,male,1,0.08604167145748491,1
sex,female,0,0.0365755687205354,1
sex,female,1,0.07866801410553802,1
race,African-American,0,0.0402601260113003,2
race,African-American,1,0.0912268703115154,2
race,Caucasian,0,0.038661915540467585,2
race,Caucasian,1,0.08478861327365585,2
race,Other,0,0.02543037335823373,2
race,Other,1,0.0978006526553019,2
sex,male,0,0.038847222184229785,2
sex,male,1,0.08645511480714514,2
sex,female,0,0.03810543721943704,2
sex,female,1,0.08508102376501525,2
race,Caucasian,0,0.03817723446026555,3
race,Caucasian,1,0.0831363401541519,3
race,African-American,0,0.03945232035282527,3
race,African-American,1,0.08978264079654921,3
race,Other,0,0.02581536286209297,3
race,Other,1,0.08819818854142285,3
sex,male,0,0.03844211509534227,3
sex,male,1,0.0867347689850567,3
sex,female,0,0.037354862182573896,3
sex,female,1,0.07874664004906061,3
race,Caucasian,0,0.03809736206380827,4
race,Caucasian,1,0.08271698812998536,4
race,Other,0,0.025990142327994206,4
race,Other,1,0.057813302747503036,4
race,African-American,0,0.0389470042066964,4
race,African-American,1,0.07980023551618337,4
sex,female,0,0.03793407528817234,4
sex,female,1,0.07739593735223156,4
sex,male,0,0.037964711749385455,4
sex,male,1,0.08398420494272113,4
