Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.03576925312284744,0
race,African-American,1,0.06323383015425199,0
race,Caucasian,0,0.034376521419513646,0
race,Caucasian,1,0.06352703889493702,0
race,Other,0,0.02235524440530862,0
race,Other,1,0.0339958138111892,0
sex,male,0,0.034768165278362254,0
sex,male,1,0.06462857306942288,0
sex,female,0,0.03330092264418672,0
sex,female,1,0.059628530890840914,0
race,Caucasian,0,0.03427731769131637,1
race,Caucasian,1,0.06390457475822783,1
race,African-American,0,0.034764998577824426,1
race,African-American,1,0.06521148280810452,1
race,Other,0,0.02260801276622638,1
race,Other,1,0.05111093672430972,1
sex,male,0,0.03443436491382628,1
sex,male,1,0.06449074163905685,1
sex,female,0,0.03325274931197745,1
sex,female,1,0.06282850370443809,1
race,African-American,0,0.03527144336852797,2
race,African-American,1,0.06266398517263169,2
race,Caucasian,0,0.03447410439958402,2
race,Caucasian,1,0.060958660040125234,2
race,Other,0,0.022549901713248645,2
race,Other,1,0.05365899262909574,2
sex,male,0,0.03482825217772866,2
sex,male,1,0.06206150231150687,2
sex,female,0,0.033178090975611314,2
sex,female,1,0.05896056152325981,2
race,Caucasian,0,0.03421186247438614,3
race,Caucasian,1,0.06235957981468771,3
race,African-American,0,0.03450572866143041,3
race,African-American,1,0.06138237174063853,3
race,Other,0,0.022908503351494216,3
race,Other,1,0.047020960023314046,3
sex,male,0,0.03444080110889984,3
sex,male,1,0.06426540571556764,3
sex,female,0,0.032958135036434466,3
sex,female,1,0.056640449108679373,3
race,Caucasian,0,0.03430004787083998,4
race,Caucasian,1,0.06147734945711633,4
race,African-American,1,0.0634083776443947,4
race,African-American,0,0.03461118773755978,4
race,Other,0,0.022863883024749333,4
race,Other,1,0.03577465868331116,4
sex,female,0,0.03267113562129042,4
sex,female,1,0.05724494849278101,4
sex,male,0,0.034704488942573476,4
sex,male,1,0.06360607182129023,4
