Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.6401943389478025,0
race,African-American,1,0.7532352702440087,0
race,Caucasian,0,0.6296029247053474,0
race,Caucasian,1,0.761047580765417,0
race,Other,0,0.5714354748901995,0
race,Other,1,0.6790337731645085,0
sex,male,0,0.6332249470314538,0
sex,male,1,0.7632691540690218,0
sex,female,0,0.6226641392827194,0
sex,female,1,0.7485120912118618,0
race,Caucasian,0,0.6316257010972944,1
race,Caucasian,1,0.7602627657331645,1
race,African-American,0,0.6477655816540282,1
race,African-American,1,0.7770017022628948,1
race,Other,0,0.5741650615591887,1
race,Other,1,0.6772916704846607,1
sex,female,0,0.6221804094120789,1
sex,female,1,0.760066332531195,1
sex,male,0,0.6378333125815794,1
sex,male,1,0.763664724947099,1
race,African-American,0,0.6416997233872209,2
race,African-American,1,0.7751062236349427,2
race,Caucasian,0,0.6297035546498445,2
race,Caucasian,1,0.7593692995781433,2
race,Other,0,0.5790615981765462,2
race,Other,1,0.635163666320641,2
sex,male,0,0.63327323505624,2
sex,male,1,0.765023334302614,2
sex,female,0,0.6244122910554986,2
sex,female,1,0.750952264333856,2
race,Other,0,0.5671878733647827,3
race,Other,1,0.7202165606317493,3
race,Caucasian,0,0.6230291432327687,3
race,Caucasian,1,0.7617457086799488,3
race,African-American,1,0.7666188835684781,3
race,African-American,0,0.6369708770326982,3
sex,female,0,0.6178073620290176,3
sex,female,1,0.7524751886667455,3
sex,male,0,0.6268789599978007,3
sex,male,1,0.7659756348638284,3
race,Caucasian,0,0.6306093365943375,4
race,Caucasian,1,0.7635868747845148,4
race,African-American,0,0.6450676821485205,4
race,African-American,1,0.7626395048911148,4
race,Other,0,0.5774062290488751,4
race,Other,1,0.6730579441851429,4
sex,female,0,0.62286781767136,4
sex,female,1,0.7449355462485987,4
sex,male,0,0.6356790101856354,4
sex,male,1,0.7702357259029328,4
