Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.00881111007594193,0
race,African-American,1,0.03920578916127766,0
race,Caucasian,0,0.008635766413000985,0
race,Caucasian,1,0.03614423483002616,0
race,Other,0,0.004761961477347422,0
sex,male,0,0.008227712494556892,0
sex,male,1,0.03606645893304555,0
sex,female,0,0.009304304127411357,0
sex,female,1,0.03793995970582405,0
race,Caucasian,0,0.008723696807864547,1
race,Caucasian,1,0.03981227009715647,1
race,African-American,0,0.009106933824572474,1
race,African-American,1,0.041926734888040704,1
race,Other,0,0.004440483815233912,1
race,Other,1,0.04262516914749662,1
sex,female,0,0.009278987105454096,1
sex,female,1,0.04122915940839312,1
sex,male,0,0.008399368247569412,1
sex,male,1,0.039749151899729454,1
race,African-American,0,0.007949298089036298,2
race,African-American,1,0.03876251743451134,2
race,Caucasian,0,0.008620936328290314,2
race,Caucasian,1,0.0375148832263804,2
race,Other,0,0.00509987209002552,2
race,Other,1,0.036688314330351204,2
sex,male,0,0.007968506067463481,2
sex,male,1,0.03814040786925108,2
sex,female,0,0.009394450387241198,2
sex,female,1,0.03670659721065543,2
race,Other,0,0.0048211979828878425,3
race,Other,1,0.027725491764529726,3
race,Caucasian,0,0.00896996125974929,3
race,Caucasian,1,0.04417392233505259,3
race,African-American,0,0.0086150757197682,3
race,African-American,1,0.03918337556205821,3
sex,female,0,0.009678489928835417,3
sex,female,1,0.04526620012364486,3
sex,male,0,0.008412784191147538,3
sex,male,1,0.04200223504341309,3
race,Caucasian,0,0.008774613961783079,4
race,Caucasian,1,0.049236291955658644,4
race,African-American,0,0.008640014281833565,4
race,African-American,1,0.05075803616509409,4
race,Other,0,0.005063685780124012,4
race,Other,1,0.008968609865470852,4
sex,female,0,0.009488504465169847,4
sex,female,1,0.04187231496576116,4
sex,male,0,0.008273935086973987,4
sex,male,1,0.0532681581047775,4
