Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,0.0004795331112543578,0
race,Caucasian,1,0.007162211849832779,0
race,African-American,0,0.0005328448138830869,0
race,African-American,1,0.01579003948420634,0
race,Other,0,0.00010595959755981445,0
race,Other,1,0.0010462656322256722,0
sex,male,0,0.000468707487551982,0
sex,male,1,0.007310908117541233,0
sex,female,0,0.0005062680459172118,0
sex,female,1,0.011188927282103453,0
race,Caucasian,0,0.0004809989068071856,1
race,Caucasian,1,0.005093358096140389,1
race,African-American,0,0.0003325664393398357,1
race,African-American,1,0.005426977062606105,1
race,Other,0,8.300639097900817e-05,1
race,Other,1,0.016243519506720688,1
sex,male,0,0.000418174056355226,1
sex,male,1,0.005431840177120462,1
sex,female,0,0.0005128552557736034,1
sex,female,1,0.004790327923225946,1
race,African-American,0,0.0004217260679781096,2
race,African-American,1,0.011852506770681524,2
race,Caucasian,0,0.000526529601269571,2
race,Caucasian,1,0.00535198022955968,2
race,Other,0,9.723077555962652e-05,2
race,Other,1,0.006612508393196017,2
sex,male,0,0.00045513950257577686,2
sex,male,1,0.006875888041226708,2
sex,female,0,0.0005948507627898746,2
sex,female,1,0.0061158468298079804,2
race,Caucasian,0,0.0006138595319948823,3
race,Caucasian,1,0.0035250164706116306,3
race,African-American,0,0.000488583962051081,3
race,African-American,1,0.00646321540559758,3
race,Other,0,0.00018584175515209752,3
race,Other,1,0.0018420406365804098,3
sex,male,0,0.0005566034200435603,3
sex,male,1,0.004384356215594495,3
sex,female,0,0.0006394127260753543,3
sex,female,1,0.0035474884129958945,3
race,Caucasian,0,0.0006328089051804168,4
race,Caucasian,1,0.007724422026699441,4
race,Other,0,8.94634043042475e-05,4
race,African-American,0,0.0007358702021782128,4
race,African-American,1,0.0028317030060079434,4
sex,female,0,0.0005829138851075029,4
sex,female,1,0.006919488979849603,4
sex,male,0,0.000662072365421707,4
sex,male,1,0.006904006534289189,4
