Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,0.006021633632168193,0
race,Caucasian,1,0.038296875429864964,0
race,African-American,0,0.008742145259834097,0
race,African-American,1,0.04229204230484751,0
race,Other,0,0.004835685873128429,0
race,Other,1,0.026078847801126705,0
sex,male,0,0.007232245480003438,0
sex,male,1,0.04182929381068922,0
sex,female,0,0.004761239013423109,0
sex,female,1,0.023496239218918646,0
race,Caucasian,0,0.006387923444661124,1
race,Caucasian,1,0.04878726618746122,1
race,African-American,0,0.008546854602741773,1
race,African-American,1,0.05386837716607683,1
race,Other,0,0.0045683885567271935,1
race,Other,1,0.05146476642913698,1
sex,male,0,0.007789472003086834,1
sex,male,1,0.05419147305420567,1
sex,female,0,0.004293890454861836,1
sex,female,1,0.023707875456492625,1
race,African-American,0,0.008732340551774886,2
race,African-American,1,0.03401571232334539,2
race,Caucasian,0,0.006249038559920449,2
race,Caucasian,1,0.03503858537272088,2
race,Other,0,0.005266995679543065,2
race,Other,1,0.02648420205520564,2
sex,male,0,0.007613175973708678,2
sex,male,1,0.03587661017288294,2
sex,female,0,0.004518141925677922,2
sex,female,1,0.02911482676453531,2
race,Caucasian,0,0.00636681782018544,3
race,Caucasian,1,0.04088772175315023,3
race,African-American,0,0.008486372141990977,3
race,African-American,1,0.027249288146146043,3
race,Other,0,0.005054100634527567,3
race,Other,1,0.05189385259170409,3
sex,male,0,0.007320251715406228,3
sex,male,1,0.038505724630410756,3
sex,female,0,0.0053321936628062385,3
sex,female,1,0.02790479009540281,3
race,Caucasian,0,0.006366210262535947,4
race,Caucasian,1,0.028071167821182956,4
race,Other,0,0.005177442272637971,4
race,Other,1,0.018483110261312937,4
race,African-American,0,0.00856026503234294,4
race,African-American,1,0.029393360956574174,4
sex,female,0,0.004291999200596872,4
sex,female,1,0.027926792834617718,4
sex,male,0,0.007794506661788215,4
sex,male,1,0.028442808122212497,4
