Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.0004844048886658595,0
race,African-American,1,0.0024395439904922106,0
race,Caucasian,0,0.00025332805694222143,0
race,Caucasian,1,0.003940854299143003,0
race,Other,0,5.4689145077720824e-05,0
race,Other,1,0.0018101340178347392,0
sex,male,0,0.0003834650031728406,0
sex,male,1,0.003914661456308497,0
sex,female,0,7.823542685452627e-05,0
sex,female,1,0.0016351036788830168,0
race,Caucasian,0,0.0002411633962357226,1
race,Caucasian,1,0.0063711509210884615,1
race,African-American,0,0.0005351036868900095,1
race,African-American,1,0.006862512729075494,1
race,Other,0,8.12793287053107e-05,1
race,Other,1,6.767996832387916e-05,1
sex,female,0,6.68122201564056e-05,1
sex,female,1,0.003175237642840983,1
sex,male,0,0.0003890332118335747,1
sex,male,1,0.007078862383001485,1
race,African-American,0,0.0006470204383223902,2
race,African-American,1,0.003977022681479004,2
race,Caucasian,0,0.00026804396805982917,2
race,Caucasian,1,0.005995223784537133,2
race,Other,0,0.00016214130212246868,2
race,Other,1,3.637980175614381e-05,2
sex,male,0,0.0004481108341077169,2
sex,male,1,0.005951820337376272,2
sex,female,0,7.465100398059928e-05,2
sex,female,1,0.001650088327499844,2
race,Other,0,6.518754165800534e-05,3
race,Other,1,0.0010562044900054807,3
race,Caucasian,0,0.0002697119787167212,3
race,Caucasian,1,0.004091010574478994,3
race,African-American,1,0.011718349185690901,3
race,African-American,0,0.00039322240389958363,3
sex,female,0,5.4480433141332534e-05,3
sex,female,1,0.0008657666992740081,3
sex,male,0,0.00039215805924015194,3
sex,male,1,0.007027190745048657,3
race,Caucasian,0,0.000280608626445936,4
race,Caucasian,1,0.003437774999995912,4
race,African-American,0,0.0004891833396619332,4
race,African-American,1,0.008164265232315183,4
race,Other,0,9.280365078200074e-05,4
race,Other,1,2.5848614389214517e-06,4
sex,female,0,8.168776379830452e-05,4
sex,female,1,0.000944381529811516,4
sex,male,0,0.0004165369281713549,4
sex,male,1,0.005267241676566166,4
