Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.027294290773847815,0
race,African-American,1,0.14130284467332055,0
race,Caucasian,0,0.019758283005149806,0
race,Caucasian,1,0.126761715835515,0
race,Other,0,0.018107060486708557,0
race,Other,1,0.20904602163084407,0
sex,male,0,0.022890038934439656,0
sex,male,1,0.13066231772664483,0
sex,female,0,0.016826210801856447,0
sex,female,1,0.1307155317028998,0
race,African-American,0,0.027869471248962344,1
race,African-American,1,0.13986835728388636,1
race,Caucasian,0,0.020064068122854613,1
race,Caucasian,1,0.11891850309487294,1
race,Other,0,0.018137192087907587,1
race,Other,1,0.1262903266133291,1
sex,male,0,0.02342325666694477,1
sex,male,1,0.12443340214760568,1
sex,female,0,0.01666304897423245,1
sex,female,1,0.1246649212333134,1
race,Caucasian,0,0.020030735639187853,2
race,Caucasian,1,0.12307102770905487,2
race,African-American,0,0.0263369367248851,2
race,African-American,1,0.12855969708625378,2
race,Other,0,0.018324092138548423,2
race,Other,1,0.13219649710600534,2
sex,male,0,0.022914696181010184,2
sex,male,1,0.12786172315355512,2
sex,female,0,0.016909544658836734,2
sex,female,1,0.10868990415991134,2
race,Other,1,0.14691002195363004,3
race,Other,0,0.019636169988845705,3
race,Caucasian,1,0.1281046335691909,3
race,Caucasian,0,0.020369032865294373,3
race,African-American,0,0.02633449664428532,3
race,African-American,1,0.12893073786299095,3
sex,female,1,0.13005813732215873,3
sex,female,0,0.016612560859404733,3
sex,male,0,0.02353431260207632,3
sex,male,1,0.12816814495082962,3
race,Caucasian,0,0.02026270514722354,4
race,Caucasian,1,0.12928877600411318,4
race,Other,0,0.01788540673555184,4
race,Other,1,0.21902858825403593,4
race,African-American,0,0.029737635753681196,4
race,African-American,1,0.13726328475242078,4
sex,female,0,0.0166637210735569,4
sex,female,1,0.12949341219914462,4
sex,male,0,0.024147933032293806,4
sex,male,1,0.1327247863750476,4
