Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.7503551901434785,0
race,African-American,1,0.9463671021175583,0
race,Caucasian,0,0.7181214707044368,0
race,Caucasian,1,0.9259542011306278,0
race,Other,0,0.6740596485621352,0
race,Other,1,0.9720226156153816,0
sex,male,0,0.7389569004618676,0
sex,male,1,0.936368773134991,0
sex,female,0,0.6860321310239381,0
sex,female,1,0.9075374714970792,0
race,Caucasian,0,0.7162334796240093,1
race,Caucasian,1,0.9222217310603825,1
race,Other,0,0.6784469760852054,1
race,Other,1,0.9776021553505463,1
race,African-American,0,0.7463529733536006,1
race,African-American,1,0.9463600752715168,1
sex,male,0,0.7410201695356832,1
sex,male,1,0.9353557689540818,1
sex,female,0,0.6752159950647861,1
sex,female,1,0.900794675053583,1
race,African-American,0,0.7552503076181348,2
race,African-American,1,0.943554873203791,2
race,Caucasian,0,0.7220412328860272,2
race,Caucasian,1,0.9292841899778799,2
race,Other,0,0.6776564701435487,2
race,Other,1,0.9763761511162922,2
sex,male,0,0.7421166319047575,2
sex,male,1,0.9352818168752618,2
sex,female,0,0.6924114503858652,2
sex,female,1,0.9253572857651435,2
race,Caucasian,0,0.7163411944653734,3
race,Caucasian,1,0.9311340075866991,3
race,African-American,0,0.7491479763722002,3
race,African-American,1,0.9325638094328542,3
race,Other,0,0.677747664389671,3
race,Other,1,0.9318916862168302,3
sex,male,0,0.7376367494648921,3
sex,male,1,0.9354868620268019,3
sex,female,0,0.6835584525188882,3
sex,female,1,0.912622154323348,3
race,Caucasian,0,0.7190672313302939,4
race,Caucasian,1,0.9295654275160649,4
race,Other,1,0.9748972872146509,4
race,Other,0,0.6908201761339712,4
race,African-American,0,0.7526110251725399,4
race,African-American,1,0.9453365275312915,4
sex,female,0,0.687840448666865,4
sex,female,1,0.9298225077490286,4
sex,male,0,0.7406069613088223,4
sex,male,1,0.9352016850491557,4
