Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.01657190642401832,0
race,African-American,1,0.06543258116109096,0
race,Caucasian,0,0.017341193870437706,0
race,Caucasian,1,0.05856932528659335,0
race,Other,0,0.00550871203940962,0
race,Other,1,0.02309184741021109,0
sex,male,0,0.01807380735588003,0
sex,male,1,0.06319106237628799,0
sex,female,0,0.014356191409207748,0
sex,female,1,0.05017252218987167,0
race,Caucasian,0,0.017570002565020483,1
race,Caucasian,1,0.06260669625803823,1
race,African-American,0,0.018180895891561487,1
race,African-American,1,0.06889261456597062,1
race,Other,0,0.004949687397553321,1
race,Other,1,0.04150871357918234,1
sex,female,0,0.01477409100331345,1
sex,female,1,0.053514087015311025,1
sex,male,0,0.018539932303903883,1
sex,male,1,0.06719038432490661,1
race,African-American,0,0.017676429672653565,2
race,African-American,1,0.0631156490971214,2
race,Caucasian,1,0.06480918660844492,2
race,Caucasian,0,0.01786502643524805,2
race,Other,1,0.02569827162419742,2
race,Other,0,0.005380280932282421,2
sex,male,0,0.01891013115416232,2
sex,male,1,0.06646249191796047,2
sex,female,0,0.014487608748902328,2
sex,female,1,0.05892020186455842,2
race,Other,0,0.004720548929058594,3
race,Other,1,0.03167609972287979,3
race,Caucasian,0,0.01760078524907766,3
race,Caucasian,1,0.06210237185025385,3
race,African-American,1,0.06902987840451275,3
race,African-American,0,0.017972859413002088,3
sex,female,0,0.014001089526831831,3
sex,female,1,0.05349639115117249,3
sex,male,0,0.018887301106733003,3
sex,male,1,0.06670151202459534,3
race,Caucasian,0,0.017397208100557924,4
race,Caucasian,1,0.06221176536653943,4
race,African-American,0,0.01934997485481612,4
race,African-American,1,0.06313921978398707,4
race,Other,0,0.005587611134179327,4
race,Other,1,0.025273688560174513,4
sex,female,0,0.014264957217706323,4
sex,female,1,0.059085058213221076,4
sex,male,0,0.01887287563916205,4
sex,male,1,0.06340476330504295,4
