Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,0.024961585500100733,0
race,Caucasian,1,0.10283671456239869,0
race,African-American,0,0.027872194763142902,0
race,African-American,1,0.11489243491466748,0
race,Other,0,0.006945076734679446,0
race,Other,1,0.044731434453186836,0
sex,male,0,0.02742021316971444,0
sex,male,1,0.11079544623869396,0
sex,female,0,0.01985377166319614,0
sex,female,1,0.08768209283048958,0
race,Caucasian,1,0.10088415893854785,1
race,Caucasian,0,0.024250154394474314,1
race,African-American,0,0.02578643589037429,1
race,African-American,1,0.11144616961085937,1
race,Other,0,0.007702310904077272,1
race,Other,1,0.056491898923277564,1
sex,male,1,0.10949880671379701,1
sex,male,0,0.02624384262572199,1
sex,female,0,0.01943379202188432,1
sex,female,1,0.08339586673602525,1
race,African-American,0,0.028797550941237347,2
race,African-American,1,0.11057708013507336,2
race,Caucasian,1,0.10514379386525151,2
race,Caucasian,0,0.025182993735431564,2
race,Other,1,0.05104676775146153,2
race,Other,0,0.009439033304480357,2
sex,male,0,0.027825611395437287,2
sex,male,1,0.11215452933858404,2
sex,female,0,0.02010893787447747,2
sex,female,1,0.08896642895345995,2
race,Caucasian,0,0.024119823413636166,3
race,Caucasian,1,0.1058113264879457,3
race,African-American,1,0.11248599110257682,3
race,African-American,0,0.02622204663176687,3
race,Other,0,0.00798667789417747,3
race,Other,1,0.028349292576290562,3
sex,male,0,0.025813973966060548,3
sex,male,1,0.11448341340924506,3
sex,female,0,0.020327478857905357,3
sex,female,1,0.08374128444302305,3
race,Caucasian,0,0.024645541631269093,4
race,Caucasian,1,0.10461574393837955,4
race,Other,0,0.007009361825749649,4
race,Other,1,0.03273929594528864,4
race,African-American,0,0.027339975144480465,4
race,African-American,1,0.11927245833538716,4
sex,female,0,0.02040731922087118,4
sex,female,1,0.08336924394970542,4
sex,male,0,0.026604903007275853,4
sex,male,1,0.11539436170458268,4
