Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.7110029995764543,0
race,African-American,1,0.841050887600007,0
race,Caucasian,0,0.6891325453014586,0
race,Caucasian,1,0.8330961109140571,0
race,Other,0,0.6475162705011003,0
race,Other,1,0.7578191763692449,0
sex,male,0,0.6947748375098031,0
sex,male,1,0.8389683572617496,0
sex,female,0,0.6849697252203081,0
sex,female,1,0.8211372530139144,0
race,Caucasian,0,0.6953180550375186,1
race,Caucasian,1,0.8359612874415817,1
race,African-American,0,0.7231410594926758,1
race,African-American,1,0.852517214778278,1
race,Other,0,0.6572242959831681,1
race,Other,1,0.7829210956031099,1
sex,female,0,0.6895304917065822,1
sex,female,1,0.8260945254540802,1
sex,male,0,0.703377707047296,1
sex,male,1,0.8433034297421212,1
race,African-American,0,0.7188220570871785,2
race,African-American,1,0.8474064596486767,2
race,Caucasian,1,0.835321073577787,2
race,Caucasian,0,0.6951715230291586,2
race,Other,1,0.789173779600613,2
race,Other,0,0.6601185839503726,2
sex,male,0,0.7012381445711332,2
sex,male,1,0.8426685904690958,2
sex,female,0,0.6919211546938584,2
sex,female,1,0.8218197733049478,2
race,Other,0,0.6459461014558386,3
race,Other,1,0.7563585780795891,3
race,Caucasian,0,0.6862073164163618,3
race,Caucasian,1,0.82903798600512,3
race,African-American,1,0.8425694736895827,3
race,African-American,0,0.711143316880788,3
sex,female,0,0.6839139934627686,3
sex,female,1,0.8181979734673313,3
sex,male,0,0.6918704864937929,3
sex,male,1,0.8358106100178426,3
race,Caucasian,0,0.6931850676787805,4
race,Caucasian,1,0.8346296787557467,4
race,African-American,0,0.7196911909554986,4
race,African-American,1,0.8473618839235819,4
race,Other,0,0.6545579075828474,4
race,Other,1,0.7647587870182981,4
sex,female,0,0.6886279941882071,4
sex,female,1,0.8281076395046586,4
sex,male,0,0.7002284657754118,4
sex,male,1,0.8393734172467023,4
