Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.3324791435215635,0
race,African-American,0,0.18200171094028453,0
race,Caucasian,0,0.17118766696892393,0
race,Caucasian,1,0.3269178169817098,0
race,Other,0,0.12421597361546827,0
race,Other,1,0.2249755769562029,0
sex,male,1,0.33267298712924626,0
sex,male,0,0.17416368026970383,0
sex,female,0,0.1661226538178748,0
sex,female,1,0.314049464764158,0
race,Caucasian,0,0.1706464725133143,1
race,Caucasian,1,0.332670635911381,1
race,African-American,0,0.18516655598634157,1
race,African-American,1,0.3373431341803639,1
race,Other,0,0.12508654060023286,1
race,Other,1,0.21314980741599754,1
sex,female,0,0.1647324229602725,1
sex,female,1,0.3219403535088542,1
sex,male,0,0.17499943611719437,1
sex,male,1,0.3369673948831442,1
race,African-American,0,0.1843545648040333,2
race,African-American,1,0.3315084882923698,2
race,Caucasian,1,0.3308520455662712,2
race,Caucasian,0,0.17164263880263345,2
race,Other,1,0.20573667181288116,2
race,Other,0,0.12678481483043674,2
sex,male,0,0.17514369060313037,2
sex,male,1,0.3343630187635601,2
sex,female,0,0.16685495485648477,2
sex,female,1,0.3191391879707422,2
race,Other,0,0.12580178475795248,3
race,Other,1,0.2127969626639843,3
race,Caucasian,0,0.16908042986934982,3
race,Caucasian,1,0.32599195361268035,3
race,African-American,1,0.33111664076838887,3
race,African-American,0,0.18163519609989587,3
sex,female,0,0.16622869289815712,3
sex,female,1,0.31398392130791214,3
sex,male,0,0.17170350382624483,3
sex,male,1,0.3309576828309931,3
race,Caucasian,0,0.17068097441015712,4
race,Caucasian,1,0.32601615502486414,4
race,African-American,0,0.18629706480028288,4
race,African-American,1,0.3373432088454777,4
race,Other,0,0.12853926161811435,4
race,Other,1,0.2297963681672971,4
sex,female,0,0.16526523167082166,4
sex,female,1,0.31170365475180173,4
sex,male,0,0.17515486163174326,4
sex,male,1,0.3336473762271531,4
