Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.2697389748185493,0
race,African-American,0,0.08677152067616255,0
race,Caucasian,0,0.07782362652455505,0
race,Caucasian,1,0.266301754213334,0
race,Other,0,0.030541436896701142,0
race,Other,1,0.11801310279715543,0
sex,male,1,0.2774327257512871,0
sex,male,0,0.08247746126255093,0
sex,female,0,0.06817823689111206,0
sex,female,1,0.23845259234910324,0
race,Caucasian,0,0.07663586095547634,1
race,Caucasian,1,0.2692896824695073,1
race,African-American,0,0.0883540081977801,1
race,African-American,1,0.28138435617921775,1
race,Other,0,0.029758217576186664,1
race,Other,1,0.12711512855249277,1
sex,female,0,0.06716007255989893,1
sex,female,1,0.24910350169783682,1
sex,male,0,0.0819712328101245,1
sex,male,1,0.2790724864554721,1
race,African-American,0,0.08893788178067007,2
race,African-American,1,0.2696824322008364,2
race,Caucasian,1,0.2690098729890062,2
race,Caucasian,0,0.07891759124996758,2
race,Other,1,0.10488218725894155,2
race,Other,0,0.03364308280804824,2
sex,male,0,0.08355388926573905,2
sex,male,1,0.2777040793000101,2
sex,female,0,0.07028221057640327,2
sex,female,1,0.2437473895162742,2
race,Other,0,0.02936041713156342,3
race,Other,1,0.0998622831415677,3
race,Caucasian,0,0.07572393131880749,3
race,Caucasian,1,0.26510185453159135,3
race,African-American,1,0.28145665339423787,3
race,African-American,0,0.08423803322028794,3
sex,female,0,0.06792665435605053,3
sex,female,1,0.23741463790294035,3
sex,male,0,0.0795736787075236,3
sex,male,1,0.27876486399981837,3
race,Caucasian,0,0.07718662068324925,4
race,Caucasian,1,0.2630658842872983,4
race,African-American,0,0.0904349614845958,4
race,African-American,1,0.2798578571437424,4
race,Other,0,0.03183057979325359,4
race,Other,1,0.13604688056749406,4
sex,female,0,0.06790689359388034,4
sex,female,1,0.24021116178562243,4
sex,male,0,0.082789770862354,4
sex,male,1,0.2752345370250963,4
