Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,5.717085798816568,0
race,African-American,0,3.8178086070215174,0
race,Caucasian,0,3.0746054519368724,0
race,Caucasian,1,5.0918641390205375,0
race,Other,0,1.8906379453189726,0
race,Other,1,3.26,0
sex,male,1,5.409382444566612,0
sex,male,0,3.378921127345752,0
sex,female,0,2.707724117560183,0
sex,female,1,4.661538461538462,0
race,Caucasian,0,3.0392410268460317,1
race,Caucasian,1,5.13938018469244,1
race,African-American,0,3.840565229803026,1
race,African-American,1,5.858529819694868,1
race,Other,0,1.7550525464834277,1
race,Other,1,3.4166666666666665,1
sex,female,0,2.622749471535826,1
sex,female,1,4.696914700544465,1
sex,male,0,3.380136506825341,1
sex,male,1,5.483754193890165,1
race,African-American,0,3.8773690078037903,2
race,African-American,1,5.8147743813682675,2
race,Caucasian,1,5.083979528535981,2
race,Caucasian,0,3.072487911310296,2
race,Other,1,4.05,2
race,Other,0,1.8743760399334441,2
sex,male,0,3.41038753217839,2
sex,male,1,5.46155224950708,2
sex,female,0,2.6755609684086212,2
sex,female,1,4.583004818221638,2
race,Other,0,1.8375325803649,3
race,Other,1,4.195652173913044,3
race,Caucasian,0,3.029876615746181,3
race,Caucasian,1,5.118256299273458,3
race,African-American,1,5.833926031294452,3
race,African-American,0,3.8237966775521794,3
sex,female,0,2.6611783815711756,3
sex,female,1,4.624944320712695,3
sex,male,0,3.3509933774834435,3
sex,male,1,5.483174770965468,3
race,Caucasian,0,3.0724914655851543,4
race,Caucasian,1,5.095427752110881,4
race,African-American,0,3.8617128102137426,4
race,African-American,1,5.685986793837124,4
race,Other,0,2.0008163265306123,4
race,Other,1,3.1739130434782608,4
sex,female,0,2.6643384772910115,4
sex,female,1,4.611775528978841,4
sex,male,0,3.4117585775802195,4
sex,male,1,5.416182873730044,4
