Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.3172172430206513,0
race,African-American,0,0.21723437972513893,0
race,Caucasian,0,0.1997912470622583,0
race,Caucasian,1,0.31358109454884225,0
race,Other,0,0.14306184998664198,0
race,Other,1,0.23736583676950357,0
sex,male,1,0.31751111212304156,0
sex,male,0,0.20424463049584002,0
sex,female,0,0.1947795638222562,0
sex,female,1,0.30387880615012686,0
race,Caucasian,1,0.3129120240439669,1
race,Caucasian,0,0.2003556701654711,1
race,Other,1,0.2742579556948795,1
race,Other,0,0.15507075316814362,1
race,African-American,0,0.20911509362570635,1
race,African-American,1,0.3294404220745145,1
sex,male,1,0.32126855194277576,1
sex,male,0,0.2031731749917656,1
sex,female,0,0.19517019280573486,1
sex,female,1,0.3017691199728585,1
race,African-American,0,0.21306588734205759,2
race,African-American,1,0.32525422729027204,2
race,Caucasian,0,0.19956189663286952,2
race,Caucasian,1,0.3152192098001038,2
race,Other,0,0.15209263317142474,2
race,Other,1,0.2327012079862751,2
sex,male,0,0.20228576797528144,2
sex,male,1,0.3184838252809798,2
sex,female,0,0.1970718077152162,2
sex,female,1,0.311567187536304,2
race,Caucasian,0,0.19977968054572245,3
race,Caucasian,1,0.3179304752346748,3
race,African-American,0,0.2152396994429181,3
race,African-American,1,0.33111489753894346,3
race,Other,0,0.15307350701980496,3
race,Other,1,0.22712599379154566,3
sex,male,0,0.20510953216720615,3
sex,male,1,0.3248705974433922,3
sex,female,0,0.19232102534667755,3
sex,female,1,0.3063017232003558,3
race,Caucasian,0,0.19899078726658603,4
race,Caucasian,1,0.31652668774687953,4
race,Other,0,0.15020326954004867,4
race,Other,1,0.2061386886980009,4
race,African-American,0,0.21300640491305886,4
race,African-American,1,0.32258797913749115,4
sex,female,0,0.19569145263840937,4
sex,female,1,0.31095667812088895,4
sex,male,0,0.20220256933904734,4
sex,male,1,0.3191185128360045,4
