Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.2482269447400792,0
race,African-American,0,0.10670067686177982,0
race,Caucasian,0,0.09428565258684382,0
race,Caucasian,1,0.24041610576360295,0
race,Other,0,0.03701595184719703,0
race,Other,1,0.1189776548190885,0
sex,male,1,0.2523417590628643,0
sex,male,0,0.10078044063998184,0
sex,female,0,0.08200224842205167,0
sex,female,1,0.21159745168569286,0
race,Caucasian,1,0.23765558266325473,1
race,Caucasian,0,0.09335085281905661,1
race,Other,1,0.1686255648290136,1
race,Other,0,0.04432146987320811,1
race,African-American,0,0.09799409431836648,1
race,African-American,1,0.2561040856546835,1
sex,male,1,0.25529961205952667,1
sex,male,0,0.09865644838513553,1
sex,female,0,0.08014135108641225,1
sex,female,1,0.20402695837211243,1
race,African-American,0,0.10275374978839182,2
race,African-American,1,0.24836952950958816,2
race,Caucasian,0,0.09318052768999559,2
race,Caucasian,1,0.24280126544719519,2
race,Other,0,0.04333490782116213,2
race,Other,1,0.15038891942784535,2
sex,male,0,0.0982017898233226,2
sex,male,1,0.2514685846155354,2
sex,female,0,0.08332589534550433,2
sex,female,1,0.2220086716689753,2
race,Caucasian,0,0.09348728938432956,3
race,Caucasian,1,0.2460592164561553,3
race,African-American,0,0.10523493149832985,3
race,African-American,1,0.25572930534657706,3
race,Other,0,0.044824802850487934,3
race,Other,1,0.12783280059642838,3
sex,male,0,0.10109009252077611,3
sex,male,1,0.2597364864319118,3
sex,female,0,0.07874934748970155,3
sex,female,1,0.21425381295106355,3
race,Caucasian,0,0.09311898386577834,4
race,Caucasian,1,0.2442864529204607,4
race,Other,0,0.04358761880217668,4
race,Other,1,0.10188067710748169,4
race,African-American,0,0.10288111798495143,4
race,African-American,1,0.2550151010343879,4
sex,female,0,0.0819698631432064,4
sex,female,1,0.2186953759389242,4
sex,male,0,0.09884327583751155,4
sex,male,1,0.25567230240843597,4
