Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,1,0.2836894551550985,0
race,Caucasian,0,0.19159298243277031,0
race,African-American,1,0.2810932763235618,0
race,African-American,0,0.19336424572059688,0
race,Other,0,0.148400123807915,0
race,Other,1,0.22004048309453592,0
sex,male,1,0.28370429968310584,0
sex,male,0,0.1904274564371671,0
sex,female,0,0.1914168507280088,0
sex,female,1,0.28047151408295495,0
race,Other,0,0.15313371287983196,1
race,Other,1,0.23522667554889154,1
race,Caucasian,1,0.2819399036919455,1
race,Caucasian,0,0.1912973282550602,1
race,African-American,0,0.19171295093627194,1
race,African-American,1,0.2873384949428783,1
sex,female,0,0.19064149445453615,1
sex,female,1,0.27688120763249824,1
sex,male,0,0.1903176814087778,1
sex,male,1,0.28497243066852723,1
race,African-American,1,0.28622159608023345,2
race,African-American,0,0.19505997725912755,2
race,Caucasian,0,0.19348818380388097,2
race,Caucasian,1,0.2806343471105241,2
race,Other,0,0.15630577071103324,2
race,Other,1,0.19157250464697256,2
sex,male,1,0.2809021715642603,2
sex,male,0,0.19317686247381768,2
sex,female,0,0.19191502306999578,2
sex,female,1,0.28153315181050537,2
race,African-American,0,0.19314938836495898,3
race,African-American,1,0.28446013950587734,3
race,Caucasian,0,0.19184949072864196,3
race,Caucasian,1,0.2813218761469456,3
race,Other,0,0.15006618103938144,3
race,Other,1,0.20938485100547446,3
sex,male,0,0.1911987879420134,3
sex,male,1,0.28152224221705263,3
sex,female,0,0.19037203172674966,3
sex,female,1,0.2811929926920069,3
race,Caucasian,0,0.191085002458585,4
race,Caucasian,1,0.2872781512772851,4
race,Other,1,0.18905732513746723,4
race,Other,0,0.14944202607198714,4
race,African-American,0,0.19355301447228657,4
race,African-American,1,0.28634564571287563,4
sex,female,0,0.19133605831292047,4
sex,female,1,0.28525132084696697,4
sex,male,0,0.18999626144181653,4
sex,male,1,0.286962191059208,4
