Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,0.038670090995636466,0
race,Caucasian,1,0.1082181450494458,0
race,African-American,0,0.040379744326676494,0
race,African-American,1,0.11462082355198197,0
race,Other,0,0.022893877367294757,0
race,Other,1,0.10125700329997774,0
sex,male,0,0.03726709932159612,0
sex,male,1,0.1097222536335218,0
sex,female,0,0.041577940096582125,0
sex,female,1,0.10847401916492144,0
race,Caucasian,0,0.03834771623931079,1
race,Caucasian,1,0.10567736515829945,1
race,African-American,0,0.03823762962260297,1
race,African-American,1,0.11514346281679297,1
race,Other,0,0.022027855294476095,1
race,Other,1,0.12237241476562961,1
sex,male,0,0.0370691201588187,1
sex,male,1,0.11057889585354233,1
sex,female,0,0.03997179193832848,1
sex,female,1,0.10143175768245456,1
race,African-American,0,0.03783219779507418,2
race,African-American,1,0.12035852417814424,2
race,Caucasian,1,0.10820226225580679,2
race,Caucasian,0,0.03843407488378008,2
race,Other,0,0.02413613805245046,2
race,Other,1,0.09965996933770548,2
sex,male,0,0.036541144640429644,2
sex,male,1,0.11177884316537928,2
sex,female,0,0.04121421705374708,2
sex,female,1,0.10782540764712326,2
race,Caucasian,0,0.038225711418382755,3
race,Caucasian,1,0.10419797293985156,3
race,African-American,1,0.11203259676000045,3
race,African-American,0,0.039026245844093976,3
race,Other,0,0.024177935580693363,3
race,Other,1,0.06554949465977664,3
sex,male,0,0.03706263259032114,3
sex,male,1,0.10494310282931597,3
sex,female,0,0.04017938791000763,3
sex,female,1,0.10683735558913801,3
race,Caucasian,0,0.03831936423517118,4
race,Caucasian,1,0.10619853432626301,4
race,Other,0,0.023113041918589067,4
race,Other,1,0.12088946791746538,4
race,African-American,0,0.03780830323093668,4
race,African-American,1,0.10958540817657816,4
sex,female,0,0.04157575987411274,4
sex,female,1,0.10427973345244153,4
sex,male,0,0.03622853722258365,4
sex,male,1,0.10826592488037656,4
