Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.6891617070695747,0
race,African-American,1,0.8375181862999379,0
race,Caucasian,0,0.6704451895414321,0
race,Caucasian,1,0.8388183540409079,0
race,Other,0,0.616110402143707,0
race,Other,1,0.7832145093422056,0
sex,male,0,0.6590916995459117,0
sex,male,1,0.8368533167703327,0
sex,female,0,0.7007095545065315,0
sex,female,1,0.8410955561605453,0
race,Caucasian,0,0.6702150604654827,1
race,Caucasian,1,0.8427990623867696,1
race,African-American,0,0.6948665734920781,1
race,African-American,1,0.8508085012231176,1
race,Other,0,0.6207048212592875,1
race,Other,1,0.875049985884819,1
sex,female,0,0.6997187952204094,1
sex,female,1,0.8545481135190692,1
sex,male,0,0.6606681937041026,1
sex,male,1,0.8394691499397091,1
race,African-American,0,0.6982021069962123,2
race,African-American,1,0.8544605557572561,2
race,Caucasian,1,0.8421370671872619,2
race,Caucasian,0,0.6763868140468593,2
race,Other,0,0.6295707264673039,2
race,Other,1,0.813833515132297,2
sex,male,0,0.6673924556795625,2
sex,male,1,0.8449250512559828,2
sex,female,0,0.7040975868573345,2
sex,female,1,0.8424838796509148,2
race,Other,0,0.6128931431046223,3
race,Other,1,0.8292553475970995,3
race,Caucasian,0,0.6663506758689524,3
race,Caucasian,1,0.8408298860174577,3
race,African-American,0,0.6887936688787624,3
race,African-American,1,0.8539250012566357,3
sex,female,0,0.6935905787643479,3
sex,female,1,0.8482704901878172,3
sex,male,0,0.6575183713100385,3
sex,male,1,0.8402537543586349,3
race,Caucasian,0,0.6738029793076314,4
race,Caucasian,1,0.8456250568376376,4
race,African-American,0,0.6983509937233788,4
race,African-American,1,0.8463405280905055,4
race,Other,0,0.623713679647576,4
race,Other,1,0.8671100146884524,4
sex,female,0,0.7020387972802662,4
sex,female,1,0.853504573628374,4
sex,male,0,0.6648759952307725,4
sex,male,1,0.841557612929499,4
