Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.9128927753981506,0
race,African-American,0,0.7666665635237447,0
race,Caucasian,0,0.7402343780589061,0
race,Caucasian,1,0.8859195626388768,0
race,Other,0,0.6686116577168499,0
race,Other,1,0.9241305175718194,0
sex,male,1,0.903238069246222,0
sex,male,0,0.7684318879432884,0
sex,female,0,0.6876420958584005,0
sex,female,1,0.8467073293932195,0
race,Caucasian,0,0.7412384272668838,1
race,Caucasian,1,0.8884563003760025,1
race,Other,0,0.6779284433519859,1
race,Other,1,0.9353884231130087,1
race,African-American,0,0.7656173056284901,1
race,African-American,1,0.9077622839009071,1
sex,male,0,0.7709415089749528,1
sex,male,1,0.9050123299628392,1
sex,female,0,0.6854092185248456,1
sex,female,1,0.8463474122490681,1
race,African-American,0,0.7715113032253367,2
race,African-American,1,0.9130375114230228,2
race,Caucasian,0,0.7425110011108017,2
race,Caucasian,1,0.888185083532852,2
race,Other,0,0.6762858053067394,2
race,Other,1,0.9172324896976684,2
sex,male,0,0.770454945358427,2
sex,male,1,0.9011444674127503,2
sex,female,0,0.6924827836875694,2
sex,female,1,0.8669707639078595,2
race,Caucasian,0,0.7353984379256575,3
race,Caucasian,1,0.8878306871138284,3
race,African-American,0,0.7644339893002291,3
race,African-American,1,0.9082829467303574,3
race,Other,0,0.6754616818740128,3
race,Other,1,0.9117934251010799,3
sex,male,0,0.764932870344411,3
sex,male,1,0.9030493455025381,3
sex,female,0,0.6813568166037794,3
sex,female,1,0.8484548153713489,3
race,Caucasian,0,0.7389094625463531,4
race,Caucasian,1,0.8867320394650878,4
race,Other,1,0.9316980317479122,4
race,Other,0,0.677484250810825,4
race,African-American,0,0.7666324847925831,4
race,African-American,1,0.9095064035881448,4
sex,female,0,0.6840904344517914,4
sex,female,1,0.8525207096979721,4
sex,male,0,0.7690344743307679,4
sex,male,1,0.9032929520920464,4
