Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6504501763255626,0
race,Caucasian,0.6689401125807812,0
race,Other,0.7600130890052357,0
sex,male,0.6607396495918687,0
sex,female,0.6768145869286584,0
race,Caucasian,0.6747469809522797,1
race,Other,0.7144285714285714,1
race,African-American,0.6955672755807799,1
sex,male,0.6711228987499378,1
sex,female,0.6844656291075873,1
race,African-American,0.6652225966717447,2
race,Caucasian,0.6690678065991402,2
race,Other,0.49084124830393483,2
sex,male,0.6513541731647499,2
sex,female,0.7032336475547957,2
race,Caucasian,0.6852512985504464,3
race,African-American,0.682596028858325,3
race,Other,0.6799242424242424,3
sex,male,0.6768196236327829,3
sex,female,0.7038215960843699,3
race,Caucasian,0.668925053098929,4
race,Other,0.638752756677285,4
race,African-American,0.6462765994232326,4
sex,female,0.6707186616034938,4
sex,male,0.6624797130718385,4
