Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7653820647255251,0
race,Caucasian,0.7627060626290568,0
race,Other,0.731217277486911,0
sex,male,0.7578708091727335,0
sex,female,0.776094099258836,0
race,Caucasian,0.7711483331986642,1
race,Other,0.8756190476190475,1
race,African-American,0.8109609863070363,1
sex,male,0.7764641757852246,1
sex,female,0.7816341322445022,1
race,African-American,0.7900794720873529,2
race,Caucasian,0.7740048655512395,2
race,Other,0.7827001356852104,2
sex,male,0.7725720613273214,2
sex,female,0.7884274833063399,2
race,Caucasian,0.7664132688517533,3
race,African-American,0.7688854153067191,3
race,Other,0.832260101010101,3
sex,male,0.7620695436883902,3
sex,female,0.7830197539686591,3
race,Caucasian,0.7691609575938625,4
race,Other,0.7310708159764764,4
race,African-American,0.7871862875953499,4
sex,female,0.7839191078934694,4
sex,male,0.7675227093765278,4
