Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7911594672431773,0
race,African-American,0.8137489476715849,0
race,Other,0.8586065573770492,0
sex,male,0.7910247736989859,0
sex,female,0.8050313219077464,0
race,Caucasian,0.7762086581809113,1
race,African-American,0.8213107128641384,1
race,Other,0.9433060109289618,1
sex,male,0.7754037940936397,1
sex,female,0.8031138858470287,1
race,African-American,0.7915915970794885,2
race,Caucasian,0.7769597461313943,2
race,Other,0.8223266095606521,2
sex,male,0.7830247877444821,2
sex,female,0.7737988614904323,2
race,Caucasian,0.7785547683810776,3
race,African-American,0.8110321600941057,3
race,Other,0.925293542074364,3
sex,male,0.7906222706336951,3
sex,female,0.7768627141183131,3
race,Caucasian,0.7959781926403457,4
race,Other,0.878522360857984,4
race,African-American,0.7907759875259875,4
sex,female,0.7810087877990484,4
sex,male,0.8036626124106744,4
