Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7639619063265118,0
race,Other,0.8976822503961965,0
race,African-American,0.7424386574135249,0
sex,male,0.7682364443785153,0
sex,female,0.7521010675694677,0
race,African-American,0.7948145517985652,1
race,Caucasian,0.7606526478471272,1
race,Other,0.8163039631988677,1
sex,male,0.7671969338148243,1
sex,female,0.7627475267122529,1
race,African-American,0.7680959704141694,2
race,Caucasian,0.7552313700913217,2
race,Other,0.9000684072511687,2
sex,male,0.755990323402088,2
sex,female,0.7676208375682395,2
race,Caucasian,0.7484895498199512,3
race,African-American,0.7931606234209272,3
race,Other,0.788356991845364,3
sex,female,0.750474424296657,3
sex,male,0.7585146096489513,3
race,Caucasian,0.7588340348969487,4
race,African-American,0.8178523976325643,4
race,Other,0.6746742671009771,4
sex,female,0.7842274077353677,4
sex,male,0.7606303114084175,4
