Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7652108104734263,0
race,Caucasian,0.7673767993710684,0
race,Other,0.7628272251308901,0
sex,male,0.7617289502492096,0
sex,female,0.7799910925866793,0
race,Caucasian,0.7766318253262577,1
race,Other,0.8927619047619048,1
race,African-American,0.818822198295527,1
sex,male,0.7793602710740821,1
sex,female,0.7946421912725712,1
race,African-American,0.794458978482251,2
race,Caucasian,0.7775348203561534,2
race,Other,0.803392130257802,2
sex,male,0.7719902154641409,2
sex,female,0.8016596801999789,2
race,Caucasian,0.77463465605274,3
race,African-American,0.7708895050831295,3
race,Other,0.8294823232323233,3
sex,male,0.7694646479486941,3
sex,female,0.788493696084937,3
race,Caucasian,0.7731961483422403,4
race,Other,0.6950502327860819,4
race,African-American,0.7927520245644852,4
sex,female,0.7867650941515255,4
sex,male,0.7718168965812698,4
