Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6917290222225649,0
race,Caucasian,0.7044515368417317,0
race,Other,0.5875,0
sex,male,0.703975398362929,0
sex,female,0.6936121002844438,0
race,Caucasian,0.7188667371049684,1
race,Other,0.7685560053981106,1
race,African-American,0.6961683202189531,1
sex,male,0.7179192812013309,1
sex,female,0.7029980734318991,1
race,African-American,0.6831985462066335,2
race,Caucasian,0.7117463944896443,2
race,Other,0.6156278229448962,2
sex,male,0.6948065569786953,2
sex,female,0.7343426861556048,2
race,Caucasian,0.7289123752871804,3
race,African-American,0.6896581605211259,3
race,Other,0.7890822784810125,3
sex,male,0.7223492241403279,3
sex,female,0.7190342339256741,3
race,Caucasian,0.7094114059089144,4
race,Other,0.753071364046974,4
race,African-American,0.6944270668056879,4
sex,female,0.7007866863288268,4
sex,male,0.7113340835208801,4
