Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.8024300056158573,0
race,African-American,0.8005797900771804,0
race,Other,0.8029057273661591,0
sex,male,0.8075734698166501,0
sex,female,0.7874473066775705,0
race,Caucasian,0.7925722960989797,1
race,African-American,0.8164221782762826,1
race,Other,0.8558974358974359,1
sex,male,0.7956000201870056,1
sex,female,0.8000223966936058,1
race,African-American,0.7676755946929056,2
race,Caucasian,0.7991334535092219,2
race,Other,0.8421080964685616,2
sex,male,0.7953860834558333,2
sex,female,0.7925886444179127,2
race,Caucasian,0.8035377360244244,3
race,African-American,0.7907208645771046,3
race,Other,0.8727546751968505,3
sex,male,0.8031299125535276,3
sex,female,0.7993702058024705,3
race,Caucasian,0.8162258563681853,4
race,Other,0.7659448818897638,4
race,African-American,0.7896498242796566,4
sex,female,0.7992019037475646,4
sex,male,0.8169073561824155,4
