Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.8144746082344145,0
race,African-American,0.8201190220851333,0
race,Other,0.8631224890217696,0
sex,male,0.817511863222709,0
sex,female,0.8097262381105368,0
race,Caucasian,0.805835680492005,1
race,African-American,0.8264640960067446,1
race,Other,0.9012820512820513,1
sex,male,0.8061627443915884,1
sex,female,0.8163096091553261,1
race,African-American,0.7945594431214509,2
race,Caucasian,0.8055644079395057,2
race,Other,0.8632644272179155,2
sex,male,0.8053777938326874,2
sex,female,0.8023651145602365,2
race,Caucasian,0.8156953391945663,3
race,African-American,0.8042212826306683,3
race,Other,0.8724778543307086,3
sex,male,0.8168412929273805,3
sex,female,0.8074163891950862,3
race,Caucasian,0.8241266417819723,4
race,Other,0.7655511811023623,4
race,African-American,0.8018103948816785,4
sex,female,0.8113712742517278,4
sex,male,0.8232701805319184,4
