Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.8032260190983308,0
race,African-American,0.8026442921488322,0
race,Other,0.8496683172942165,0
sex,male,0.8073317668470561,0
sex,female,0.7914998247612371,0
race,Caucasian,0.80048275225697,1
race,African-American,0.8243206535178861,1
race,Other,0.7778205128205128,1
sex,male,0.8020389324435819,1
sex,female,0.8098089096205247,1
race,African-American,0.7723173396488107,2
race,Caucasian,0.7979396554002567,2
race,Other,0.8538436692506459,2
sex,male,0.7953332136175331,2
sex,female,0.7913028028881688,2
race,Caucasian,0.8055217700635942,3
race,African-American,0.7891167824692678,3
race,Other,0.8629429133858268,3
sex,male,0.8040239322963988,3
sex,female,0.8015178926554314,3
race,Caucasian,0.8188026679754395,4
race,Other,0.7734744094488188,4
race,African-American,0.7901145619641079,4
sex,female,0.8007318724708197,4
sex,male,0.8193362415485513,4
