Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6735234649272206,0
race,Caucasian,0.7218948161205083,0
race,Other,0.7262119843420656,0
sex,male,0.7127171279763868,0
sex,female,0.72027774255684,0
race,Caucasian,0.7209132560761283,1
race,African-American,0.6956847606765861,1
race,Other,0.6782101019321467,1
sex,female,0.7326696079040577,1
sex,male,0.7092595134042293,1
race,African-American,0.7004575832759777,2
race,Caucasian,0.7188796086397141,2
race,Other,0.6979293344289237,2
sex,male,0.7117018314721936,2
sex,female,0.7225454847551949,2
race,Other,0.7393423597678916,3
race,Caucasian,0.7282470210874598,3
race,African-American,0.7122899735815826,3
sex,female,0.7282102330100269,3
sex,male,0.7260783654143973,3
race,Caucasian,0.7183355779218992,4
race,African-American,0.6887638023082768,4
race,Other,0.7321904761904761,4
sex,female,0.7092514291980004,4
sex,male,0.7179390299258417,4
