Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7597473796423357,0
race,Caucasian,0.7727895411078144,0
race,Other,0.7689793130366901,0
sex,male,0.7721284496418274,0
sex,female,0.7672167736901507,0
race,Caucasian,0.7728123257425396,1
race,Other,0.8136739962610167,1
race,African-American,0.7634009718443145,1
sex,male,0.777317213369089,1
sex,female,0.7568766798987867,1
race,African-American,0.7571715133311715,2
race,Caucasian,0.7755301410374507,2
race,Other,0.7671147672552167,2
sex,male,0.773186556893608,2
sex,female,0.7717412265344691,2
race,Caucasian,0.776702214094551,3
race,African-American,0.7491106320212255,3
race,Other,0.7256023671974074,3
sex,male,0.7753509309186304,3
sex,female,0.7621806287929623,3
race,Caucasian,0.7753741843570459,4
race,Other,0.683655761024182,4
race,African-American,0.7552097799912567,4
sex,female,0.7712435608408493,4
sex,male,0.7711086138424934,4
