Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7691520754801413,0
race,African-American,0.7774120603726167,0
race,Other,0.7330653526970955,0
sex,male,0.772096432127102,0
sex,female,0.7660073757448511,0
race,Caucasian,0.7634062096376486,1
race,African-American,0.7577255647559641,1
race,Other,0.7553750597228859,1
sex,male,0.7621102280803773,1
sex,female,0.7630338108784316,1
race,African-American,0.739404444685488,2
race,Caucasian,0.7634332003480565,2
race,Other,0.7622543648184674,2
sex,male,0.7610021117001984,2
sex,female,0.7581452905586813,2
race,Caucasian,0.7585069945489085,3
race,African-American,0.7537078586078287,3
race,Other,0.8208949914627206,3
sex,male,0.7637983265700836,3
sex,female,0.747635195965469,3
race,Caucasian,0.7671044637305311,4
race,Other,0.7014688462449656,4
race,African-American,0.7388740444433456,4
sex,female,0.7513595634989243,4
sex,male,0.7679174565096019,4
