Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7364955878824591,0
race,Other,0.729983922829582,0
race,African-American,0.7230397955372676,0
sex,male,0.7383703316969936,0
sex,female,0.7283362346838999,0
race,Caucasian,0.7344272306954713,1
race,African-American,0.7165186486491963,1
race,Other,0.6280082987551867,1
sex,female,0.7229763437017734,1
sex,male,0.7357532541121858,1
race,African-American,0.7278843246340772,2
race,Caucasian,0.7389443761882307,2
race,Other,0.5893086816720258,2
sex,male,0.7382997551251443,2
sex,female,0.7355630032274165,2
race,Caucasian,0.7389080591119285,3
race,African-American,0.7311117238207119,3
race,Other,0.7810178448341885,3
sex,male,0.7426792566841143,3
sex,female,0.729838311301137,3
race,Caucasian,0.7373896796790274,4
race,African-American,0.7311038314176246,4
race,Other,0.6242692195264543,4
sex,female,0.7401239273005249,4
sex,male,0.7354199523946741,4
