Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7557819175133311,0
race,Caucasian,0.7766192803368812,0
race,Other,0.7489266198282591,0
sex,male,0.7731680914533767,0
sex,female,0.7728290599370105,0
race,Caucasian,0.7745159949202055,1
race,Other,0.8191192616991603,1
race,African-American,0.769193576471274,1
sex,male,0.7792410733148462,1
sex,female,0.760519119700787,1
race,African-American,0.7563760611559561,2
race,Caucasian,0.7773466876985773,2
race,Other,0.7736356340288925,2
sex,male,0.7741561825269695,2
sex,female,0.7750998344184759,2
race,Caucasian,0.7770224443414568,3
race,African-American,0.7527432061211978,3
race,Other,0.7062420741158235,3
sex,male,0.7757503521745621,3
sex,female,0.7637091438896504,3
race,Caucasian,0.7784555619321161,4
race,Other,0.6752204836415363,4
race,African-American,0.7592857022092655,4
sex,female,0.7795493276409251,4
sex,male,0.7721482882647904,4
