Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6752056874438369,0
race,Caucasian,0.7065917875456844,0
race,Other,0.6643263757115749,0
sex,male,0.70385919654734,0
sex,female,0.6970360313689062,0
race,Caucasian,0.7078469083944895,1
race,African-American,0.7043552129640755,1
race,Other,0.6237925574030087,1
sex,female,0.7200309188187961,1
sex,male,0.701711862036724,1
race,African-American,0.7030793079264996,2
race,Caucasian,0.7126407077477782,2
race,Other,0.6118912337662338,2
sex,male,0.7055684304211789,2
sex,female,0.7203285230476302,2
race,Other,0.759128916172735,3
race,Caucasian,0.7199715209524691,3
race,African-American,0.7024215501899183,3
sex,female,0.7263245911394025,3
sex,male,0.7138077119887447,3
race,Caucasian,0.7082519738309361,4
race,African-American,0.6705767082325804,4
race,Other,0.6862193362193362,4
sex,female,0.7045626334787559,4
sex,male,0.7040631802112902,4
