Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7131337779008414,0
race,Caucasian,0.7466914677828363,0
race,Other,0.7854444444444444,0
sex,male,0.7415271866200025,0
sex,female,0.7432542002232606,0
race,Caucasian,0.741953197231735,1
race,Other,0.8260778743315509,1
race,African-American,0.7542626978012527,1
sex,male,0.7489465543415479,1
sex,female,0.7340429471170598,1
race,African-American,0.7295194329672702,2
race,Caucasian,0.7516300280835032,2
race,Other,0.750038103947569,2
sex,male,0.7475348597286581,2
sex,female,0.7519154815400013,2
race,Caucasian,0.7417804052594031,3
race,African-American,0.7222959335486715,3
race,Other,0.6896099744245524,3
sex,male,0.7437071713681053,3
sex,female,0.7266063060936193,3
race,Caucasian,0.7478207208673504,4
race,Other,0.5780494505494506,4
race,African-American,0.7277893788741372,4
sex,female,0.7455485206730835,4
sex,male,0.7430450854241064,4
