Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6832844805299161,0
race,Caucasian,0.6963148297255319,0
race,Other,0.6365435356200527,0
sex,male,0.6943473728284542,0
sex,female,0.6976843921870444,0
race,African-American,0.6944445289401,1
race,Caucasian,0.7056527710015621,1
race,Other,0.6540147783251232,1
sex,male,0.7047227539445045,1
sex,female,0.7035112906615005,1
race,Caucasian,0.7030397026748594,2
race,Other,0.6077503429355281,2
race,African-American,0.7088010377546003,2
sex,male,0.7024572124217154,2
sex,female,0.7076507691833399,2
race,Other,0.625524503206397,3
race,Caucasian,0.7023961835467399,3
race,African-American,0.6863325526254915,3
sex,female,0.6959773995566655,3
sex,male,0.7023514296591896,3
race,Caucasian,0.6919764711258135,4
race,African-American,0.6901301044931485,4
race,Other,0.7707343807088053,4
sex,female,0.6957796770785081,4
sex,male,0.6928751544973901,4
