Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7180906635287384,0
race,Caucasian,0.7479006531485439,0
race,Other,0.7629981024667931,0
sex,male,0.7471685369932061,0
sex,female,0.7369363511316743,0
race,Caucasian,0.7454366550791811,1
race,African-American,0.7531831971644839,1
race,Other,0.6633808392715757,1
sex,female,0.7646503108947382,1
sex,male,0.7406647803086908,1
race,African-American,0.7592545687926883,2
race,Caucasian,0.7473660292508723,2
race,Other,0.6579545454545455,2
sex,male,0.7508642201148852,2
sex,female,0.7449847073907712,2
race,Other,0.857985817104149,3
race,Caucasian,0.762925782327845,3
race,African-American,0.748652426633972,3
sex,female,0.7588580011429065,3
sex,male,0.7630451209606579,3
race,Caucasian,0.7540826420802276,4
race,African-American,0.7261275795508955,4
race,Other,0.6401515151515151,4
sex,female,0.7352350984771354,4
sex,male,0.7568335149037874,4
