Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7550596297397512,1
race,African-American,0.7008040304285387,1
race,Other,0.9807389937106917,1
sex,female,0.7508382342579814,1
sex,male,0.7528181913885672,1
race,African-American,0.7707110691036181,2
race,Caucasian,0.7669848842883304,2
race,Other,0.8879547291835085,2
sex,male,0.7731971407718529,2
sex,female,0.7627681051486628,2
race,Other,0.854149203688181,3
race,Caucasian,0.7947869707743516,3
race,African-American,0.7437689043341321,3
sex,female,0.8041106428376197,3
sex,male,0.7877059503166429,3
race,Caucasian,0.7680679121940712,4
race,African-American,0.7628725466440514,4
race,Other,0.6188976377952756,4
sex,female,0.7595430733607413,4
sex,male,0.7794450925110693,4
