Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.8433706042835666,0
race,African-American,0.8299085251786208,0
race,Other,0.9391777098199117,0
sex,male,0.8462337231305712,0
sex,female,0.8353596388674396,0
race,Caucasian,0.8324642053880356,1
race,African-American,0.8849541440172335,1
race,Other,0.9834357923497268,1
sex,male,0.8482535684519992,1
sex,female,0.8270060890616977,1
race,African-American,0.8338096045894763,2
race,Caucasian,0.8220466555065497,2
race,Other,0.9995192307692308,2
sex,male,0.825327144729149,2
sex,female,0.8266371300743695,2
race,Caucasian,0.8040444903042872,3
race,African-American,0.8428121666752642,3
race,Other,0.7450599287333981,3
sex,male,0.814185652612141,3
sex,female,0.8053465053014964,3
