Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.8392924188940046,1
race,African-American,0.837916519241576,1
race,Other,0.9984276729559748,1
sex,female,0.8309156129160605,1
sex,male,0.8461241374690159,1
race,African-American,0.8469831846367745,2
race,Caucasian,0.8386064794743985,2
race,Other,0.9017784963621666,2
sex,male,0.8592456315928644,2
sex,female,0.7984699646848019,2
race,Other,0.9474015088013412,3
race,Caucasian,0.8675839476114567,3
race,African-American,0.8544569747765549,3
sex,female,0.8688094587326639,3
sex,male,0.8651755813315836,3
race,Caucasian,0.8584502069170341,4
race,African-American,0.8580900169614731,4
race,Other,0.9464566929133859,4
sex,female,0.8285873230451424,4
sex,male,0.8740430642920941,4
