Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7500751201923076,0
race,Caucasian,0.8027911477727927,0
race,Other,0.9812450119712689,0
sex,male,0.7779902570513306,0
sex,female,0.8359726227251933,0
race,Caucasian,0.823746386531544,1
race,African-American,0.7603451643594801,1
race,Other,0.8017309205350118,1
sex,female,0.8129383400667035,1
sex,male,0.7995678338680379,1
race,African-American,0.7933024691358026,2
race,Caucasian,0.7698192516955518,2
race,Other,0.5532687651331719,2
sex,male,0.7738345920498597,2
sex,female,0.7292482957324078,2
race,Other,0.8096186085498742,3
race,Caucasian,0.7959375978184172,3
race,African-American,0.7796130719915213,3
sex,female,0.776126272348385,3
sex,male,0.7906491188105861,3
race,Caucasian,0.8028038955415203,4
race,African-American,0.7371300724065594,4
race,Other,0.48464566929133857,4
sex,female,0.8294576842962609,4
sex,male,0.7701070975145586,4
