Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.8109886093511329,0
race,African-American,0.8043716347771741,0
race,Other,0.7860969387755102,0
sex,male,0.8169238902783709,0
sex,female,0.7475106591065556,0
race,Caucasian,0.8212475919479211,1
race,African-American,0.8519206159925264,1
race,Other,0.9805725971370143,1
sex,male,0.8239867864054381,1
sex,female,0.8273263710376686,1
race,African-American,0.8195715218684531,2
race,Caucasian,0.8335718761861336,2
race,Other,0.7699100834938986,2
sex,male,0.8175290047447754,2
sex,female,0.8471779002675434,2
race,Caucasian,0.8318683961299094,3
race,African-American,0.7859096137568817,3
race,Other,0.7730806608357629,3
sex,male,0.8161977827364213,3
sex,female,0.8356068819376855,3
race,Caucasian,0.8219749197780002,4
race,Other,0.9312195121951219,4
race,African-American,0.795061830967033,4
sex,female,0.8236077651409043,4
sex,male,0.8073814135259574,4
