Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.8370227157693038,0
race,African-American,0.8262823902696985,0
race,Other,0.798469387755102,0
sex,male,0.8335249236914581,0
sex,female,0.795645795599259,0
race,Caucasian,0.835681794221101,1
race,African-American,0.868211847222851,1
race,Other,0.9805725971370143,1
sex,male,0.8315629427081145,1
sex,female,0.8592015101173257,1
race,African-American,0.8272346946693221,2
race,Caucasian,0.85798266239043,2
race,Other,0.9104046242774567,2
sex,male,0.8378217715405234,2
sex,female,0.887367839989685,2
race,Caucasian,0.8438903820812517,3
race,African-American,0.7985444443640626,3
race,Other,0.9057337220602526,3
sex,male,0.8292812989669687,3
sex,female,0.8183812477670047,3
race,Caucasian,0.848980715948269,4
race,Other,0.8829268292682927,4
race,African-American,0.7963099686738206,4
sex,female,0.8330865874838926,4
sex,male,0.8323171006504455,4
