Attribute,Attribute Value,AUC,fold_num
race,African-American,0.8319917636600198,0
race,Caucasian,0.7975585257058553,0
race,Other,0.5460848287112561,0
sex,male,0.8030150389078343,0
sex,female,0.8071346767349761,0
race,Caucasian,0.8149263539504334,1
race,African-American,0.7694148576715947,1
race,Other,0.836687306501548,1
sex,female,0.7938186668353683,1
sex,male,0.8035247438066718,1
race,African-American,0.8078178076169924,2
race,Caucasian,0.7988946885804267,2
race,Other,0.7945168295331162,2
sex,male,0.796887795618181,2
sex,female,0.8320965079365079,2
race,Other,0.18959868959868958,3
race,Caucasian,0.7925839426284494,3
race,African-American,0.8246742736910253,3
sex,female,0.8262572516316171,3
sex,male,0.7930820358791659,3
race,Caucasian,0.8229366960391822,4
race,Other,0.967275615567911,4
race,African-American,0.8342457930803244,4
sex,female,0.8189579432521965,4
sex,male,0.8243287341632524,4
