Attribute,Attribute Value,AUC,fold_num
race,African-American,0.812397961738782,0
race,Caucasian,0.8387095759820904,0
race,Other,0.9806464485235435,0
sex,male,0.8241109970622882,0
sex,female,0.8540758608043107,0
race,Caucasian,0.829026202855517,1
race,African-American,0.8195183577283927,1
race,Other,0.6978756884343038,1
sex,female,0.8334196885145275,1
sex,male,0.8170325681995309,1
race,African-American,0.840661938534279,2
race,Caucasian,0.8245356826967007,2
race,Other,0.7880010761366694,2
sex,male,0.8257961953929486,2
sex,female,0.7909473488843455,2
race,Other,0.9374476110645431,3
race,Caucasian,0.8351925066450205,3
race,African-American,0.8386255662865387,3
sex,female,0.8052013057177362,3
sex,male,0.8378043678306095,3
race,Caucasian,0.8520074660650183,4
race,African-American,0.8012527349829699,4
race,Other,0.16732283464566933,4
sex,female,0.8873537172936221,4
sex,male,0.8191480490078226,4
