Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6460783223583504,0
race,Caucasian,0.6534049303840979,0
race,Other,0.6464085447263017,0
sex,male,0.6464291479581622,0
sex,female,0.6591528207550369,0
race,Caucasian,0.6543020116013497,1
race,Other,0.6979622680842192,1
race,African-American,0.6772548806715871,1
sex,male,0.6579203982102595,1
sex,female,0.6513954213690072,1
race,African-American,0.6703631811775459,2
race,Caucasian,0.660612809919733,2
race,Other,0.4860677396108576,2
sex,male,0.651075261814702,2
sex,female,0.679041475656381,2
race,Caucasian,0.6614830327740046,3
race,African-American,0.6731850891872373,3
race,Other,0.6252807646356033,3
sex,male,0.6576356211182156,3
sex,female,0.6727606466958695,3
race,Caucasian,0.6584725639471569,4
race,Other,0.6676277642577506,4
race,African-American,0.6350427976614378,4
sex,female,0.6667951612051441,4
sex,male,0.6485933410938355,4
